siteID,namedLocation,year,month,n_samples,n_taxa,mean_body_length,sd_body_length,max_body_length,mean_body_width,mean_count_per_liter
BARC,BARC.AOS.buoy.c0,2014,7,11,11,0.3453636363636364,NA,0.38963636363636367,NA,1.2973954055271455
BARC,BARC.AOS.littoral1,2014,7,10,10,0.3986,NA,0.43489999999999995,NA,3.8188736681887363
BARC,BARC.AOS.littoral2,2014,7,15,15,0.3249,NA,0.3390666666666667,NA,6.816666666666666
BARC,BARC.AOS.buoy.c0,2015,2,13,13,0.43374999999999997,NA,0.4762,NA,0.24236037934668073
BARC,BARC.AOS.littoral1,2015,2,13,13,0.425,NA,0.4698333333333333,NA,0.28146587050696636
BARC,BARC.AOS.littoral2,2015,2,9,9,0.24505555555555555,NA,0.2748888888888889,NA,0.7592592592592593
BARC,BARC.AOS.buoy.c0,2017,6,12,12,0.275,NA,0.32499999999999996,0.08,9.132420091324201
BARC,BARC.AOS.littoral1,2017,6,17,17,0.20441176470588235,NA,0.21941176470588236,0.08,2.6446078431372553
BARC,BARC.AOS.littoral2,2017,6,20,20,0.24825,NA,0.2785,0.07,5.510416666666667
BARC,BARC.AOS.buoy.c0,2017,10,18,18,0.35694444444444445,NA,0.39722222222222225,0.07,3.815084348046677
BARC,BARC.AOS.littoral1,2017,10,20,20,0.24675,NA,0.27049999999999996,0.065,3.35
BARC,BARC.AOS.littoral2,2017,10,21,21,0.2633333333333333,NA,0.29,0.065,5.158730158730158
BARC,BARC.AOS.buoy.c0,2018,2,11,11,0.5331818181818182,NA,0.6554545454545454,NA,4.206165654306555
BARC,BARC.AOS.littoral1,2018,2,12,12,0.34291666666666665,NA,0.39666666666666667,NA,20.34722222222222
BARC,BARC.AOS.littoral2,2018,2,21,21,0.29675,NA,0.338,0.065,6.001322751322752
BARC,BARC.AOS.buoy.c0,2018,7,11,11,0.47681818181818186,NA,0.5781818181818181,NA,4.745874844333748
BARC,BARC.AOS.littoral1,2018,7,17,17,0.37176470588235294,NA,0.43470588235294116,NA,3.218954248366013
BARC,BARC.AOS.littoral2,2018,7,11,11,0.34090909090909094,NA,0.3418181818181818,NA,12.272727272727273
BARC,BARC.AOS.buoy.c0,2018,10,11,11,0.5436363636363636,NA,0.6609090909090909,NA,5.182637060023092
BARC,BARC.AOS.littoral1,2018,10,15,15,0.439,NA,0.5233333333333333,NA,6.24202450686469
BARC,BARC.AOS.littoral2,2018,10,16,16,0.416875,NA,0.505625,0.05,4.168366470562975
BARC,BARC.AOS.buoy.c0,2019,2,16,16,0.4859375,NA,0.58125,0.075,2.844510325086894
BARC,BARC.AOS.littoral1,2019,2,16,16,0.46328125,NA,0.5296875,0.05,2.027071102413568
BARC,BARC.AOS.littoral2,2019,2,15,15,0.3383333333333333,NA,0.36666666666666664,0.05,2.1635138073494233
BARC,BARC.AOS.buoy.c0,2019,7,12,12,0.46979166666666666,NA,0.5708333333333333,NA,6.786090621707061
BARC,BARC.AOS.littoral1,2019,7,15,15,0.4125,NA,0.48833333333333334,NA,2.3768645357686453
BARC,BARC.AOS.littoral2,2019,7,11,11,0.475,NA,0.5681818181818182,NA,13.520725849492973
BARC,BARC.AOS.buoy.c0,2019,10,10,10,0.49624999999999997,NA,0.605,0.05,3.1963470319634704
BARC,BARC.AOS.littoral2,2019,10,14,14,0.41160714285714284,NA,0.4830357142857143,NA,4.410714285714286
BARC,BARC.AOS.buoy.c1,2020,2,13,13,0.5057692307692307,NA,0.6057692307692307,0.05,10.824025289778714
BARC,BARC.AOS.littoral1,2020,2,13,13,0.45865384615384613,NA,0.5346153846153846,NA,1.3846153846153846
BARC,BARC.AOS.littoral2,2020,2,22,22,0.3625,NA,0.40454545454545454,0.05,0.8371212121212122
BARC,BARC.AOS.buoy.c0,2020,7,15,15,0.4475,NA,0.525,0.0625,11.364789446981227
BARC,BARC.AOS.littoral1,2020,7,21,21,0.3761904761904762,NA,0.4107142857142857,0.0625,2.1706349206349205
BARC,BARC.AOS.littoral2,2020,7,20,20,0.28625,NA,0.33125,0.05,3.2083333333333335
BARC,BARC.AOS.buoy.c0,2020,10,10,10,0.8887499999999999,NA,1.11,0.075,11.85458377239199
BARC,BARC.AOS.littoral1,2020,10,10,10,0.5525,NA,0.635,NA,10.666666666666666
BARC,BARC.AOS.littoral2,2020,10,13,13,0.44134615384615383,NA,0.5192307692307693,0.05,7.628205128205128
BARC,BARC.AOS.buoy.c0,2021,2,13,13,0.4239583333333333,NA,0.4979166666666667,0.0505,11.258634820278656
BARC,BARC.AOS.littoral1,2021,2,20,20,0.330625,NA,0.35875,0.07,2.333333333333334
BARC,BARC.AOS.littoral2,2021,2,12,12,0.35625,NA,0.38333333333333336,NA,1.28125
BARC,BARC.AOS.buoy.c0,2021,7,12,12,0.525,NA,0.6125,0.05,3.6621004566210047
BARC,BARC.AOS.littoral1,2021,7,18,18,0.3833333333333333,NA,0.43472222222222223,NA,2.1064814814814814
BARC,BARC.AOS.littoral2,2021,7,20,20,0.418125,NA,0.455,0.075,1.8687500000000001
BARC,BARC.AOS.buoy.c0,2021,11,17,17,0.3438235294117647,NA,0.39,0.07954545454545454,1.8121586534157041
BARC,BARC.AOS.littoral1,2021,11,8,8,0.56875,NA,0.56875,0.05,3.4375
BARC,BARC.AOS.littoral2,2021,11,7,7,0.29857142857142854,NA,0.32857142857142857,0.0625,1.976190476190476
BARC,BARC.AOS.buoy.c0,2022,2,11,11,0.5181818181818182,NA,0.5909090909090909,0.078,1.4379217469373573
BARC,BARC.AOS.littoral1,2022,2,7,7,0.39999999999999997,NA,0.4928571428571428,0.0775,0.5833333333333334
BARC,BARC.AOS.littoral2,2022,2,13,13,0.5038461538461538,NA,0.5615384615384615,0.1285714285714286,2.3397435897435894
BARC,BARC.AOS.buoy.c0,2022,7,7,7,0.6714285714285715,NA,0.8,NA,0.9957407620582479
BARC,BARC.AOS.littoral1,2022,7,7,7,0.5242857142857142,NA,0.5599999999999999,0.07,2.5714285714285716
BARC,BARC.AOS.littoral2,2022,7,6,6,0.6833333333333333,NA,0.8,NA,12.916666666666668
BARC,BARC.AOS.buoy.c0,2022,11,11,11,0.3986363636363636,NA,0.44181818181818183,0.065,0.2646326276463263
BARC,BARC.AOS.littoral1,2022,11,13,13,0.40615384615384614,NA,0.4330769230769231,0.0825,1.269230769230769
BARC,BARC.AOS.littoral2,2022,11,12,12,0.30375,NA,0.3516666666666667,0.074375,0.5972222222222222
BARC,BARC.AOS.buoy.c0,2023,2,12,12,0.5458333333333334,NA,0.65,0.07,1.887453300124533
BARC,BARC.AOS.littoral1,2023,2,11,11,0.4863636363636364,NA,0.5318181818181819,0.06333333333333334,1.143939393939394
BARC,BARC.AOS.littoral2,2023,2,8,8,0.3675,NA,0.4375,0.06666666666666667,0.5729166666666667
BARC,BARC.AOS.buoy.c0,2023,6,9,9,0.6166666666666667,NA,0.7444444444444445,0.05,1.5079112243814379
BARC,BARC.AOS.littoral1,2023,6,7,7,0.48142857142857143,NA,0.5599999999999999,0.05,2.25
BARC,BARC.AOS.littoral2,2023,6,8,8,0.5375,NA,0.6,0.055,2.84375
BARC,BARC.AOS.buoy.c0,2023,11,10,10,0.32599999999999996,NA,0.445,0.12333333333333334,1.36986301369863
