siteID,namedLocation,year,month,n_samples,n_taxa,mean_body_length,sd_body_length,max_body_length,mean_body_width,mean_count_per_liter,temp_mean_monthly,temp_sd_monthly,temp_max_monthly,temp_min_monthly,n_days_temp
BARC,BARC.AOS.buoy.c0,2014,7,11,11,0.3453636363636364,NA,0.38963636363636367,NA,1.2973954055271455,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2014,7,10,10,0.3986,NA,0.43489999999999995,NA,3.8188736681887363,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2014,7,15,15,0.3249,NA,0.3390666666666667,NA,6.816666666666666,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2015,2,13,13,0.43374999999999997,NA,0.4762,NA,0.24236037934668073,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2015,2,13,13,0.425,NA,0.4698333333333333,NA,0.28146587050696636,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2015,2,9,9,0.24505555555555555,NA,0.2748888888888889,NA,0.7592592592592593,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2017,6,12,12,0.275,NA,0.32499999999999996,0.08,9.132420091324201,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2017,6,17,17,0.20441176470588235,NA,0.21941176470588236,0.08,2.6446078431372553,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2017,6,20,20,0.24825,NA,0.2785,0.07,5.510416666666667,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2017,10,18,18,0.35694444444444445,NA,0.39722222222222225,0.07,3.815084348046677,27.174624084877603,1.9183524236765457,30.96,22.01,31
BARC,BARC.AOS.littoral1,2017,10,20,20,0.24675,NA,0.27049999999999996,0.065,3.35,27.174624084877603,1.9183524236765457,30.96,22.01,31
BARC,BARC.AOS.littoral2,2017,10,21,21,0.2633333333333333,NA,0.29,0.065,5.158730158730158,27.174624084877603,1.9183524236765457,30.96,22.01,31
BARC,BARC.AOS.buoy.c0,2018,2,11,11,0.5331818181818182,NA,0.6554545454545454,NA,4.206165654306555,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2018,2,12,12,0.34291666666666665,NA,0.39666666666666667,NA,20.34722222222222,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2018,2,21,21,0.29675,NA,0.338,0.065,6.001322751322752,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2018,7,11,11,0.47681818181818186,NA,0.5781818181818181,NA,4.745874844333748,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2018,7,17,17,0.37176470588235294,NA,0.43470588235294116,NA,3.218954248366013,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2018,7,11,11,0.34090909090909094,NA,0.3418181818181818,NA,12.272727272727273,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2018,10,11,11,0.5436363636363636,NA,0.6609090909090909,NA,5.182637060023092,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral1,2018,10,15,15,0.439,NA,0.5233333333333333,NA,6.24202450686469,NA,NA,NA,NA,NA
BARC,BARC.AOS.littoral2,2018,10,16,16,0.416875,NA,0.505625,0.05,4.168366470562975,NA,NA,NA,NA,NA
BARC,BARC.AOS.buoy.c0,2019,2,16,16,0.4859375,NA,0.58125,0.075,2.844510325086894,19.008817677342144,2.3855133645331295,24.57,13.97,28
BARC,BARC.AOS.littoral1,2019,2,16,16,0.46328125,NA,0.5296875,0.05,2.027071102413568,19.008817677342144,2.3855133645331295,24.57,13.97,28
BARC,BARC.AOS.littoral2,2019,2,15,15,0.3383333333333333,NA,0.36666666666666664,0.05,2.1635138073494233,19.008817677342144,2.3855133645331295,24.57,13.97,28
BARC,BARC.AOS.buoy.c0,2019,7,12,12,0.46979166666666666,NA,0.5708333333333333,NA,6.786090621707061,31.772596698775118,0.6703328272919015,33.97,30.01,31
BARC,BARC.AOS.littoral1,2019,7,15,15,0.4125,NA,0.48833333333333334,NA,2.3768645357686453,31.772596698775118,0.6703328272919015,33.97,30.01,31
BARC,BARC.AOS.littoral2,2019,7,11,11,0.475,NA,0.5681818181818182,NA,13.520725849492973,31.772596698775118,0.6703328272919015,33.97,30.01,31
BARC,BARC.AOS.buoy.c0,2019,10,10,10,0.49624999999999997,NA,0.605,0.05,3.1963470319634704,27.42080335661556,1.0731086730081572,29.98,25.67,28
BARC,BARC.AOS.littoral2,2019,10,14,14,0.41160714285714284,NA,0.4830357142857143,NA,4.410714285714286,27.42080335661556,1.0731086730081572,29.98,25.67,28
BARC,BARC.AOS.buoy.c1,2020,2,13,13,0.5057692307692307,NA,0.6057692307692307,0.05,10.824025289778714,17.714569129008517,1.5191043412353025,22.21,15.12,25
BARC,BARC.AOS.littoral1,2020,2,13,13,0.45865384615384613,NA,0.5346153846153846,NA,1.3846153846153846,17.714569129008517,1.5191043412353025,22.21,15.12,25
