family,species,location,latitude,longitude,sampling_habitat,acclimation,temperature_of_acclimation_c,length_acclimation_period_days,rate_acclimation_c_day,methodology,endpoint,heating_rate_c_min,length_experiment_min,body_length_mm,weight_g,life_stage,thermal_limit_c,sd_thermal_limit,nindividuals,phylogeny,realm_affinity,source,reference
Catostomidae,Catostomus commersonii,NA,NA,NA,Freshwater,experimental,26,NA,NA,dynamic,LOE,1.7000000000000001E-2,NA,NA,NA,NA,34.9,0.25,5,yes,Freshwater,Beitinger et al. 2000,12
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,1440,NA,NA,larvae,29,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,2880,NA,NA,larvae,29,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,5760,NA,NA,larvae,28.6,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,1440,NA,NA,larvae,31.1,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,2880,NA,NA,larvae,31,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,5760,NA,NA,larvae,30,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,1440,NA,NA,larvae,31.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,5760,NA,NA,larvae,28.2,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,10,NA,NA,static,death,NA,1440,NA,NA,larvae,28.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
