SpecCode,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AirBreathingRef,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,VulnerabilityClimate,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered.x,DateEntered.x,Modified.x,DateModified.x,Expert.x,DateChecked.x,TS.x,sci_name,autoctr,StockCode,MaturityRefNo,Sex,AgeMatMin,AgeMatMin2,AgeMatRef,tm,Number,r2,SE_tm,SD_tm,LCL_tm,UCL_tm,LengthMatMin,LengthMatMin2,Type1,LengthMatRef,Lm,LCL_Lm,SD_Lm,LmaxLm,LmaxLmType,LmaxLmRef,UCL_Lm,SE_Lm,Locality,C_Code,E_CODE,Comment,Entered.y,DateEntered.y,Modified.y,DateModified.y,Expert.y,DateChecked.y,TS.y
291,Ameiurus,melas,5723,"(Rafinesque, 1820)",Black bullhead,Ammel_ul.jpg,NA,NA,NA,129,NA,434,NA,fusiform / normal,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,amphidromous,51243,10,NA,NA,NA,NA,NA,10,12193,NA,NA,49.6,NA,66,TL,NA,NA,40637,26.600000381469727,TL,NA,NA,12193,3620,NA,4699,AMMEL_U2,NA,NA,NA,4931,commercial,unknown,NA,NA,"from 1,000 to 10,000",NA, , ,0,0,0,0,0,0,0,0,0,0,commercial, ,12108,never/rarely,NA,never/rarely, ,NA,1,4699,potential pest,NA,no special ability,NA,NA,1,"Inhabits pools, backwaters, and sluggish current over soft substrates in creeks and small to large rivers; impoundments, oxbows, and ponds.  Nocturnal feeder, young consume immature insects, leeches, and crustaceans while adults also feed on clams, snails, plant material, and fishes (Ref. 1998, 9669, 10294).  Edible (Ref. 1998).  Are susceptible of being caught, where they are abundant, with baited lines intended for other species.  Is considered a nuisance (Ref. 30578). Often misidentified as <i>A. nebulosus</i> (Ref. 59043). ",NA,0.5077999830245972,0,2,1990-10-17T00:00:00Z,1790,2008-01-17T00:14:49Z,113,1996-01-19T00:00:00Z,NA,Ameiurus melas,6172,305,59043,unsexed,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,1790,2008-01-17T00:12:48Z,NA,2008-01-17T00:12:48Z,NA,NA,NA
3021,Ameiurus,natalis,5723,"(Lesueur, 1819)",Yellow bullhead,Amnat_u1.jpg,NA,NA,NA,129,NA,434,NA,elongated,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,NA,NA,10,NA,NA,NA,NA,NA,4,72462,NA,NA,47.56,NA,60,TL,NA,NA,27549,22.5,TL,NA,NA,12193,1920,NA,4699,NA,NA,NA,NA,5723,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,1,4699,potential pest,13686,no special ability,NA,NA,1,"Pools, backwaters, and sluggish current over soft substrate in creeks and small to large rivers; oxbows, ponds, and impoundments (Ref. 5723, 10294). Feeds on variety of insects and other bottom dwelling organisms such as mollusks and crustaceans (Ref. 27549).",NA,0.5077999830245972,0,1,1991-05-01T00:00:00Z,2291,2015-07-01T00:00:00Z,1,1994-04-26T00:00:00Z,NA,Ameiurus natalis,8693,3217,93252,unsexed,NA,2,93252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chesapeake Bay.,840,1071,NA,2291,2015-07-01T00:00:00Z,NA,2015-07-01T00:00:00Z,NA,NA,NA
3361,Ambloplites,rupestris,86798,"(Rafinesque, 1817)",Rock bass,Amrup_m0.jpg,Amrup_m0.jpg,NA,NA,302,NA,3495,NA,short and / or deep,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,0,21,120609,NA,NA,NA,18,72462,18,273,40.61,NA,43,TL,NA,NA,86798,15.399999618530273,TL,NA,NA,12193,1360,NA,4699,AMRUP_U0,NA,NA,NA,2060,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,public aquariums,based mainly on breeding,273,1,4699,harmless,NA,no special ability,NA,NA,1,"Occurs usually in rocky areas in shallow water of lakes, and the lower, warm reaches of streams (Ref. 1998).  Inhabits vegetated and brushy stream margins, pools of creeks and small to medium rivers, and rocky and vegetated margins of lakes (Ref. 86798).  Commonly found in clear, silt-free rocky streams (Ref. 86798).  Feeds on small crustaceans, insects and fish (Ref. 30578).  An introduced species in Europe which avoids swift waters and occurs in a wide variety of slow-flowing to stagnant waters such as large rivers, lakes, ponds, canals and backwaters (Ref. 59043).",NA,0.5625,0,1,1991-05-01T00:00:00Z,10,2020-01-24T00:00:00Z,10,1994-06-02T00:00:00Z,NA,Ambloplites rupestris,6283,3557,59043,unsexed,2,3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,NA,NA,NA,1790,2008-01-29T22:57:14Z,1,2021-10-01T00:00:00Z,NA,NA,NA
3361,Ambloplites,rupestris,86798,"(Rafinesque, 1817)",Rock bass,Amrup_m0.jpg,Amrup_m0.jpg,NA,NA,302,NA,3495,NA,short and / or deep,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,0,21,120609,NA,NA,NA,18,72462,18,273,40.61,NA,43,TL,NA,NA,86798,15.399999618530273,TL,NA,NA,12193,1360,NA,4699,AMRUP_U0,NA,NA,NA,2060,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,public aquariums,based mainly on breeding,273,1,4699,harmless,NA,no special ability,NA,NA,1,"Occurs usually in rocky areas in shallow water of lakes, and the lower, warm reaches of streams (Ref. 1998).  Inhabits vegetated and brushy stream margins, pools of creeks and small to medium rivers, and rocky and vegetated margins of lakes (Ref. 86798).  Commonly found in clear, silt-free rocky streams (Ref. 86798).  Feeds on small crustaceans, insects and fish (Ref. 30578).  An introduced species in Europe which avoids swift waters and occurs in a wide variety of slow-flowing to stagnant waters such as large rivers, lakes, ponds, canals and backwaters (Ref. 59043).",NA,0.5625,0,1,1991-05-01T00:00:00Z,10,2020-01-24T00:00:00Z,10,1994-06-02T00:00:00Z,NA,Ambloplites rupestris,9923,3557,120388,unsexed,3,NA,120388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,840,NA,NA,10,2019-07-08T00:00:00Z,NA,2019-07-08T00:00:00Z,NA,NA,NA
3361,Ambloplites,rupestris,86798,"(Rafinesque, 1817)",Rock bass,Amrup_m0.jpg,Amrup_m0.jpg,NA,NA,302,NA,3495,NA,short and / or deep,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,0,21,120609,NA,NA,NA,18,72462,18,273,40.61,NA,43,TL,NA,NA,86798,15.399999618530273,TL,NA,NA,12193,1360,NA,4699,AMRUP_U0,NA,NA,NA,2060,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,public aquariums,based mainly on breeding,273,1,4699,harmless,NA,no special ability,NA,NA,1,"Occurs usually in rocky areas in shallow water of lakes, and the lower, warm reaches of streams (Ref. 1998).  Inhabits vegetated and brushy stream margins, pools of creeks and small to medium rivers, and rocky and vegetated margins of lakes (Ref. 86798).  Commonly found in clear, silt-free rocky streams (Ref. 86798).  Feeds on small crustaceans, insects and fish (Ref. 30578).  An introduced species in Europe which avoids swift waters and occurs in a wide variety of slow-flowing to stagnant waters such as large rivers, lakes, ponds, canals and backwaters (Ref. 59043).",NA,0.5625,0,1,1991-05-01T00:00:00Z,10,2020-01-24T00:00:00Z,10,1994-06-02T00:00:00Z,NA,Ambloplites rupestris,9913,3557,120609,unsexed,3,5,120609,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario,124,NA,NA,10,2019-06-26T00:00:00Z,1,2021-10-01T00:00:00Z,NA,NA,NA
2743,Campostoma,anomalum,86798,"(Rafinesque, 1820)",Central stoneroller,Caano_u0.jpg,Caano_m2.jpg,NA,NA,756,Pogonichthyinae,6773,NA,fusiform / normal,O,NA,NA,0,1,0,0,benthopelagic,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,22,TL,NA,NA,5723,18.700000762939453,TL,NA,NA,12193,NA,NA,NA,CAANO_U0,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,1,"Inhabits rocky riffles, runs, and pools of headwaters, creeks, and small to large rivers (Ref. 5723, 86798).  Subadults and adults feed on detritus, filamentous algae, diatoms and occasionally on small aquatic insects; young on rotifers and microcrustacea (Ref. 10294). Reported maximum length is 17 cm TL (Ref. 86798).",NA,0.5156000256538391,0,1,1991-05-01T00:00:00Z,10,2017-07-25T00:00:00Z,10,1994-05-13T00:00:00Z,NA,Campostoma anomalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2965,Catostomus,commersonii,5723,"(Lacepède, 1803)",White sucker,Cacom_u7.jpg,NA,NA,NA,125,Catostominae,1508,NA,fusiform / normal,O,NA,NA,0,1,1,0,demersal,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,30,1998,12,12193,NA,NA,57.34,NA,65,TL,NA,NA,10294,40.650001525878906,TL,NA,NA,12193,2940,NA,4699,NA,NA,NA,NA,5723,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,commercial,NA,NA,occasionally,1998,never/rarely,NA,NA,1,4699,harmless,NA,no special ability,NA,NA,1,"Inhabits a wide range of habitats, from rocky pools and riffles of headwaters to large lakes.  Usually occurs in small, clear, cool creeks and small to medium rivers.  May be found at a depth greater than 45 m (Ref. 1998).  Moves to shallower water near sunrise and sunset to feed.  Fry (1.2 cm in length) feed on plankton and other small invertebrates; bottom feeding commences upon reaching a length of 1.6-1.8 cm.  Preyed upon by birds, fishes, lamprey, and mammals (Ref. 1998).  Flesh is white, flaky, and sweet (Ref. 1998).",NA,0.5,0,1,1991-05-01T00:00:00Z,10,2015-02-05T00:00:00Z,97,2005-06-23T00:00:00Z,NA,Catostomus commersonii,2000,3161,10928,unsexed,6,NA,10928,NA,NA,NA,NA,NA,NA,NA,23,NA,FL,10928,NA,NA,NA,NA,NA,NA,NA,NA,"Frye Creek, Sixteenmile Lake",124C,NA,NA,3,1996-02-21T00:00:00Z,NA,1996-02-21T00:00:00Z,NA,NA,NA
2965,Catostomus,commersonii,5723,"(Lacepède, 1803)",White sucker,Cacom_u7.jpg,NA,NA,NA,125,Catostominae,1508,NA,fusiform / normal,O,NA,NA,0,1,1,0,demersal,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,30,1998,12,12193,NA,NA,57.34,NA,65,TL,NA,NA,10294,40.650001525878906,TL,NA,NA,12193,2940,NA,4699,NA,NA,NA,NA,5723,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,commercial,NA,NA,occasionally,1998,never/rarely,NA,NA,1,4699,harmless,NA,no special ability,NA,NA,1,"Inhabits a wide range of habitats, from rocky pools and riffles of headwaters to large lakes.  Usually occurs in small, clear, cool creeks and small to medium rivers.  May be found at a depth greater than 45 m (Ref. 1998).  Moves to shallower water near sunrise and sunset to feed.  Fry (1.2 cm in length) feed on plankton and other small invertebrates; bottom feeding commences upon reaching a length of 1.6-1.8 cm.  Preyed upon by birds, fishes, lamprey, and mammals (Ref. 1998).  Flesh is white, flaky, and sweet (Ref. 1998).",NA,0.5,0,1,1991-05-01T00:00:00Z,10,2015-02-05T00:00:00Z,97,2005-06-23T00:00:00Z,NA,Catostomus commersonii,8615,3161,93252,unsexed,2,NA,93252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chesapeake Bay.,840,1071,NA,2291,2015-02-05T00:00:00Z,NA,2015-02-05T00:00:00Z,NA,NA,NA
2928,Chrosomus,erythrogaster,86798,"(Rafinesque, 1820)",Southern redbelly dace,Phery_u0.jpg,NA,NA,NA,756,Laviniinae,10461,NA,elongated,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12193,NA,NA,10,NA,9.100000381469727,TL,NA,NA,86798,5.75,TL,NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,1,"Inhabits rocky, usually spring-fed, pools of headwaters and creeks (Ref. 86798).  Also found in streams (Ref. 10294).",NA,0.5077999830245972,0,1,1991-05-01T00:00:00Z,10,2015-08-08T00:00:00Z,10,1994-05-12T00:00:00Z,NA,Chrosomus erythrogaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2929,Chrosomus,neogaeus,86798,"(Cope, 1867)",Finescale dace,Phneo_u0.jpg,NA,NA,NA,756,Laviniinae,10461,NA,fusiform / normal,O,NA,NA,0,1,0,0,demersal,WaterAssumed,NA,non-migratory,NA,NA,NA,NA,NA,NA,NA,6,12193,NA,NA,10,NA,11,TL,NA,NA,86798,6,TL,NA,NA,12193,NA,NA,NA,PHNEO_U0,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,1,"Occurs in lakes, ponds and sluggish pools of headwaters, creeks and small rivers, usually over silt and near vegetation (Ref. 86798).  Probably feeds on insects, crustaceans, and plankton (Ref. 1998).  Spawning probably occurs in the spring (Ref. 1998).  Commonly hybridizes with <i>Chrosomus eos</i>.  The hybrids are always females and in some areas are more common than the parental species.  Hybrids breed with males of the parental species and consequently can outnumber and even replace one of the parent species (Ref. 86798).",NA,0.5077999830245972,0,1,1991-05-01T00:00:00Z,10,2018-12-04T00:00:00Z,113,1996-01-25T00:00:00Z,NA,Chrosomus neogaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
