siteID,year,month,n_nutrient_samples,NO3_mean,NO3_sd,NH4_mean,NH4_sd,TDN_mean,TDN_sd,TN_mean,TN_sd,OrthoP_mean,OrthoP_sd,TDP_mean,TDP_sd,TP_mean,TP_sd
BARC,2017,4,3,0.0255,0.024748737341529162,0.041666666666666664,0.026501572280401276,0.12459999999999999,0.10489380343947872,0.15426666666666666,0.02535869344688984,0.023,0.0010000000000000009,0.004,0.001,0.005666666666666667,0.0011547005383792516
BARC,2017,5,3,0.005333333333333333,0.002309401076758503,0.05533333333333333,0.023629078131263043,0.18346666666666667,0.008865852092908688,0.11156666666666668,0.01724016627916719,0.014666666666666666,5.773502691896253e-4,0.008499999999999999,0.004769696007084728,0.011,0.005567764362830022
BARC,2017,6,8,0.023000000000000013,0.008153293228885526,0.09457142857142857,0.023143445024867138,0.1117875,0.013017399070913845,0.8132375000000001,0.9289534889236022,0.01,0.01104536101718726,0.005312499999999987,0.005309050000213008,0.016074999999999985,0.015266622478621851
BARC,2017,8,3,0.04783333333333333,0.001747378989610818,0.0438,0.009208148565265441,0.11953333333333334,0.026312037802749783,0.1642,0.009512623192369176,0.050666666666666665,0.02627419519858474,0.007666666666666667,0.00808290376865476,0.0028333333333333335,0.00202072594216369
BARC,2017,9,5,0.01933999999999998,9.007404361597762e-4,0.01620000000000002,0.004818021724041245,0.1519599999999998,0.006603130570671287,0.1914999999999998,0.009402836451482956,0.0238,4.4721359549995833e-4,0.00622,0.0056552630354387585,0.0092,0.004604345773288535
BARC,2017,10,3,0.021366666666666666,0.0016862186493255662,0.13333333333333333,0.013053862774417899,0.18786666666666668,0.009113360156020024,0.22656666666666667,0.024996466416942476,0.007666666666666666,0.001154700538379251,0.004,0.002,0.03,0.002
BARC,2017,11,3,0.033133333333333334,0.0355963949485525,0.1224,0.005402777063696034,0.0998,0.009427088627991149,0.12546666666666667,0.010540082226118219,0.011,0.0026457513110645908,0.002,0.001,0.0033333333333333335,0.0011547005383792516
BARC,2017,12,3,0.0096,0.0019974984355438175,0.10673333333333333,0.0030435724623102595,NA,NA,NA,NA,0.008666666666666666,5.773502691896253e-4,0.009,0.00458257569495584,0.011,0.00458257569495584
BARC,2018,1,1,0.0118,NA,0.0935,NA,0.115,NA,0.1209,NA,0.07,NA,0.018,NA,0.021,NA
BARC,2018,2,1,0.0172,NA,0.1028,NA,0.1256,NA,0.1584,NA,0.022,NA,0.001,NA,0.001,NA
BARC,2018,3,1,0.0379,NA,0.0362,NA,0.1638,NA,0.1666,NA,0.009,NA,5e-4,NA,0.001,NA
BARC,2018,4,2,0.0938,NA,0.025099999999999997,0.01103086578651014,0.6316999999999999,0.6297492993247392,0.637,0.6349818895055197,0.0415,0.030405591591021543,0.005899999999999999,0.007636753236814712,0.0212,0.0012727922061357877
BARC,2018,6,3,0.0117,0,0.0301333333333333,0,0.147266666666667,0,0.169666666666667,0,0.0246666666666667,0,5e-4,0,0.0208333333333333,0
BARC,2018,7,4,0.019425000000000026,0.005716666666666652,0.023375,0.00895,0.19870000000000002,0.021599999999999994,0.22817500000000024,0.020216666666666508,0.01125,5.000000000000004e-4,5e-4,0,0.018000000000000002,0.022666666666666665
BARC,2018,9,3,0.0189333333333333,0,0.0413333333333333,0,0.175866666666667,0,0.195566666666667,0,0.012,0,0.0045,0,0.007,0
BARC,2018,10,1,0.0323,NA,0.0526,NA,0.1132,NA,0.1269,NA,NA,NA,0.2612,NA,0.272,NA
BARC,2018,11,1,NA,NA,0.0172,NA,0.2458,NA,0.2584,NA,0.006,NA,0.002,NA,0.1043,NA
BARC,2018,12,1,NA,NA,0.108,NA,0.2386,NA,0.234,NA,0.481,NA,0.007,NA,0.041,NA
BARC,2019,1,1,NA,NA,0.0201,NA,0.2291,NA,0.262,NA,0.016,NA,0.001,NA,0.2389,NA
BARC,2019,2,1,NA,NA,0.1123,NA,0.2764,NA,0.2446,NA,0.082,NA,5e-4,NA,0.0648,NA
BARC,2019,3,1,NA,NA,0.0992,NA,0.2271,NA,0.2624,NA,0.017,NA,5e-4,NA,0.185,NA
BARC,2019,4,1,NA,NA,0.0779,NA,0.2224,NA,0.2685,NA,0.034,NA,0.0067,NA,0.009,NA
BARC,2019,5,2,NA,NA,0.04405,0,0.21745,0,0.24955,0,0.0245,0,0.00675,0,0.13705,0
BARC,2019,6,4,NA,NA,0.079225,0,0.2715,0,0.279666666666667,0,0.02465,0,0.072225,0,0.22995,0
BARC,2019,7,2,0.0075,0,0.044,0,0.2321,0,0.2519,0,0.0185,0,0.00265,0,0.0344,0
BARC,2019,8,2,0.0394,0,0.02715,0,0.1737,0,0.2104,0,NA,NA,0.00485,0,0.0278,0
BARC,2019,9,3,0.0111666666666667,0,0.138833333333333,0,0.2526,0,0.261866666666667,0,0.0223666666666667,0,0.00513333333333333,0,0.139725,0
BARC,2019,10,2,0.0076,0,0.0626,0,0.2064,0,0.2573,0,0.022,0,0.01525,0,0.0328,0
BARC,2019,11,2,0.0057,0,0.23105,0,0.291,0,0.3426,0,0.02,0,0.01885,0,0.12505,0
BARC,2019,12,1,0.0294,NA,0.0997,NA,0.1932,NA,0.2178,NA,0.018,NA,0.017,NA,0.014,NA
BARC,2020,1,1,0.0491,NA,0.0751,NA,0.2292,NA,0.2702,NA,0.0151,NA,5e-4,NA,0.009,NA
BARC,2020,2,1,0.0396,NA,0.0799,NA,0.2809,NA,0.3557,NA,0.0114,NA,0.004,NA,0.012,NA
BARC,2020,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0286666666666667,0
BARC,2020,6,3,0.0019,0,0.00326666666666667,0,0.244233333333333,0,0.278666666666667,0,NA,NA,0.00433333333333333,0,0.00623333333333333,0
BARC,2020,7,1,0.0014,NA,0.0075,NA,0.2029,NA,0.2175,NA,NA,NA,0.0042,NA,0.0111,NA
BARC,2020,10,1,0.0022,NA,0.0058,NA,0.1222,NA,0.2102,NA,NA,NA,0.0043,NA,0.006,NA
BARC,2020,11,1,0.0014,NA,0.005,NA,0.0966,NA,0.1453,NA,NA,NA,0.0037,NA,0.0101,NA
BARC,2020,12,1,0.0098,NA,0.0138,NA,0.1079,NA,0.167,NA,NA,NA,0.0038,NA,0.0074,NA
BARC,2021,1,4,0.005749999999999997,0.0026333333333333347,0.0048000000000000004,4.000000000000002e-4,0.19330000000000025,0.060866666666666513,0.208425,0.05864999999999999,NA,NA,0.0038499999999999975,8.333333333333352e-4,0.0063,7.999999999999999e-4
BARC,2021,3,1,0.0079,NA,0.0095,NA,0.2251,NA,0.238,NA,NA,NA,0.0047,NA,0.0079,NA
BARC,2021,4,1,0.0059,NA,0.0033,NA,0.2147,NA,0.2621,NA,8e-4,NA,0.0089,NA,0.0089,NA
BARC,2021,5,1,0.0014,NA,0.0129,NA,0.21560000000000001,NA,0.2388,NA,NA,NA,0.0056,NA,0.0073,NA
BARC,2021,6,1,0.0037,NA,0.0036,NA,0.1847,NA,0.2411,NA,NA,NA,0.0054,NA,0.0065,NA
BARC,2021,7,1,0.0035,NA,0.0049,NA,0.1515,NA,0.9927,NA,0,NA,0.0067,NA,0.0065,NA
BARC,2021,8,1,0.0014,NA,0.0021,NA,0.1098,NA,0.1939,NA,NA,NA,0.0032,NA,0.0073,NA
BARC,2021,9,1,7e-4,NA,0.0034,NA,0.1741,NA,0.1963,NA,7e-4,NA,0.0043,NA,0.0087,NA
BARC,2021,10,1,0.0023,NA,0.0071,NA,0.1488,NA,0.2363,NA,7e-4,NA,0.0047,NA,0.0112,NA
BARC,2021,12,1,0.0104,NA,0.008,NA,0.1957,NA,0.2616,NA,NA,NA,0.0135,NA,0.0071,NA
BARC,2022,1,4,0.005100000000000003,9.333333333333351e-4,0.00275,9.000000000000002e-4,0.20504999999999976,0.20323333333333352,0.2535,0.014800000000000008,NA,NA,0.011250000000000026,9.666666666666495e-4,0.017275000000000002,0.00625
BARC,2022,3,1,NA,NA,9e-4,NA,0.2112,NA,0.226,NA,NA,NA,0.0051,NA,0.0068,NA
BARC,2022,4,1,0.0011,NA,4e-4,NA,0.1842,NA,0.2055,NA,1e-4,NA,0.005,NA,0.0077,NA
BARC,2022,5,1,0.0025,NA,0.0018,NA,0.2487,NA,0.2652,NA,NA,NA,0.0046,NA,0.0088,NA
BARC,2022,6,3,NA,NA,7.3333333333333e-4,0,0.126533333333333,0,0.183566666666667,0,NA,NA,0.00386666666666667,0,0.00683333333333333,0
BARC,2022,7,1,0.0013,NA,0.0029,NA,0.1737,NA,0.1997,NA,5e-4,NA,0.0023,NA,0.009,NA
BARC,2022,8,1,0.0018,NA,0.0044,NA,0.1287,NA,0.161,NA,NA,NA,0.002,NA,0.0064,NA
BARC,2022,9,1,0.001,NA,0.0039,NA,0.0886,NA,0.1116,NA,NA,NA,0.004,NA,0.0078,NA
BARC,2022,10,1,5e-4,NA,0.0026,NA,0.1735,NA,0.2159,NA,9e-4,NA,0.0047,NA,0.0073,NA
BARC,2022,11,1,9e-4,NA,0.0018,NA,0.1786,NA,0.2114,NA,0,NA,0.0054,NA,0.0107,NA
BARC,2023,1,1,0.0034,NA,0.0154,NA,0.1118,NA,0.1663,NA,1e-4,NA,0.0037,NA,0.0047,NA
BARC,2023,2,1,NA,NA,0.0012,NA,0.1371,NA,0.1737,NA,NA,NA,0.0039,NA,0.0069,NA
BARC,2023,3,1,9e-4,NA,0.0225,NA,0.2335,NA,0.2702,NA,NA,NA,0.0054,NA,0.008,NA
BARC,2023,4,3,0.00123333333333333,0,0.0049,0,0.186633333333333,0,0.2308,0,NA,NA,0.0073,0,0.00793333333333333,0
BARC,2023,5,1,0.0013,NA,0.0038,NA,0.217,NA,0.3404,NA,NA,NA,0.0066,NA,0.0095,NA
BARC,2023,6,1,6e-4,NA,0.0037,NA,0.1705,NA,0.2364,NA,1e-4,NA,0.0036,NA,0.0093,NA
BARC,2023,7,3,NA,NA,0.00386666666666667,0,0.231633333333333,0,0.302966666666667,0,NA,NA,0.0086,0,0.0065,0
BARC,2023,8,1,0.0025,NA,0.0031,NA,0.1801,NA,0.3506,NA,NA,NA,0.0063,NA,0.0063,NA
BARC,2023,9,1,0.1113,NA,0.019,NA,0.1654,NA,0.213,NA,0.0029,NA,0.0058,NA,0.012,NA
BARC,2023,10,1,0.0643,NA,0.0186,NA,0.2101,NA,0.2199,NA,0.0018,NA,0.0046,NA,0.0081,NA
BARC,2023,11,2,0.04075,0.035143207024971417,0.014150000000000001,0.005586143571373726,0.28,0.028284271247461888,0.28500000000000003,0.021213203435596406,6.5e-4,3.535533905932737e-4,0.0028,2.828427124746191e-4,0.0058,2.828427124746192e-4
BARC,2024,1,3,0.009,0,1e-4,0,0.25,0,0.286666666666667,0,1e-4,0,0.00313333333333333,0,0.0073,0
BARC,2024,2,1,0.0056,NA,0.0322,NA,0.3,NA,0.28,NA,5e-4,NA,0.0042,NA,0.0047,NA
BARC,2024,3,1,0.0072,NA,0.0608,NA,0.27,NA,0.23,NA,7e-4,NA,0.0035,NA,0.0145,NA
BARC,2024,4,3,0.00336666666666667,0,0.0459333333333333,0,0.286666666666667,0,0.403333333333333,0,NA,NA,0.0038,0,0.0176,0
BARC,2024,5,1,0.0024,NA,0.0059,NA,0.25,NA,0.28,NA,2e-4,NA,0.0031,NA,0.0064,NA
BARC,2024,6,2,0.0012000000000000001,5.65685424949238e-4,0.0032500000000000003,7.778174593052023e-4,0.175,0.007071067811865462,0.29000000000000004,0.028284271247461888,3.0000000000000003e-4,2.82842712474619e-4,0.004399999999999999,1.4142135623730926e-4,0.007050000000000001,9.192388155425117e-4
BARC,2024,7,1,0.0012,NA,0.0063,NA,0.18,NA,0.36,NA,1e-4,NA,0.0053,NA,0.0091,NA
BARC,2024,9,2,0.0023,2.828427124746191e-4,0.0284,0.024748737341529166,0.53,0.3818376618407357,0.315,0.007071067811865481,0.0012,NA,0.00695,0.006434671708797583,0.01315,0.008838834764831846
BARC,2024,10,2,0.00835,0.007990306627407988,0.03805,0.019021172413918125,0.28,0,0.29000000000000004,0.028284271247461888,0.0017,NA,0.00345,2.121320343559642e-4,0.00735,0.0014849242404917494
BARC,2024,12,1,0.0576,NA,0.0244,NA,0.29,NA,0.32,NA,NA,NA,0.0058,NA,0.0058,NA
BARC,2025,1,3,0.0205333333333333,0,0.0144,0,0.29,0,0.286666666666667,0,NA,NA,0.00286666666666667,0,0.00743333333333333,0
BARC,2025,2,1,0.0623,NA,0.0084,NA,0.26,NA,0.29,NA,0.0022,NA,0.0075,NA,0.0068,NA
BARC,2025,3,1,0.0508,NA,0.0685,NA,0.25,NA,0.23,NA,0.0022,NA,0.0065,NA,0.0043,NA
BARC,2025,4,1,0.0281,NA,0.009,NA,0.24,NA,0.29,NA,0.001,NA,0.0147,NA,0.0104,NA
BARC,2025,5,2,4.5e-4,6.363961030678928e-4,0.00435,9.192388155425117e-4,0.295,0.007071067811865481,0.26,0.04242640687119283,0.00135,3.5355339059327376e-4,0.00425,9.192388155425117e-4,0.0071,0.0021213203435596424
BARC,2025,6,1,8e-4,NA,0.003,NA,0.26,NA,0.28,NA,6e-4,NA,0.0044,NA,0.0102,NA
BARC,2025,8,1,0.0034,NA,0.0115,NA,0.2467,NA,0.2533,NA,8e-4,NA,0.0056,NA,0.0142,NA
BARC,2025,9,2,0.0043,0.0015556349186104047,0.0262,0.004525483399593903,0.26,0,0.28,0.014142135623730925,0.0010500000000000002,7.07106781186548e-5,0.0040999999999999995,0.0016970562748477142,0.0071,4.24264068711929e-4
BARC,2025,10,1,0.0632,NA,0.1153,NA,0.41,NA,0.33,NA,0.0013,NA,0.0054,NA,0.0065,NA
BARC,2025,12,1,0.0577,NA,0.0538,NA,0.35,NA,0.31,NA,0.0016,NA,0.0021,NA,0.0059,NA
CRAM,2017,4,4,0.06075,0.005439056290693575,0.03875,0.01575595125658873,0.284125,0.021279626406495035,0.324775,0.01622064014355371,0.01825,9.574271077563374e-4,0.00925,0.010626225419530053,0.0125,0.013771952173409065
CRAM,2017,5,4,0.0165,0.02043689474129244,0.046,0.013316656236958787,0.5009750000000001,0.2548893142130521,0.3382,0.006562011886609185,0.015,8.164965809277262e-4,0.008375,0.00713413157527483,0.01025,0.007228416147400481
CRAM,2017,6,4,0.0245,0.006363961030678929,0.06925,0.017632829230349468,0.2165,0.0365882494798535,0.317975,0.058867442897864476,0.002,8.16496580927726e-4,0.00875,0.0034034296427770225,0.026000000000000002,0.026720778431774776
CRAM,2017,7,8,0.014285714285714287,0.011081229660721358,0.13725,0.05377576901666152,0.2823625,0.05529197662022428,0.3630499999999999,0.057072076401353325,0.02475000000000001,0.0018835124230062875,0.009724999999999996,0.02205610270801863,0.03177499999999999,0.020630865688274432
CRAM,2017,8,12,0.040891666666666666,0.024748141956579896,0.14045833333333335,0.12684535412712744,0.3126750000000001,0.1207196887735209,0.37096666666666656,0.11256527803093556,0.03341666666666666,0.003467380462644277,0.015258333333333332,0.010258902268643358,0.020333333333333318,0.008305492888517332
CRAM,2017,10,8,0.0164125,0.0067202120502257955,0.200375,0.17568795999075829,0.3455625,0.1677026189206869,0.3943125,0.15727663015482352,0.013999999999999999,0.008734169352933013,0.009125,0.012147163102081549,0.042874999999999996,0.020434127616039088
CRAM,2017,11,3,0.248,0.39310877629480623,0.1226,0.026515655752781225,0.1749,0.019806817008292874,0.2335,0.012328422445714618,0.017333333333333333,0.007767453465154029,0.0026666666666666666,5.773502691896258e-4,0.0036666666666666666,5.773502691896258e-4
CRAM,2018,2,1,0.035,NA,0.156,NA,0.2592,NA,0.256,NA,0.049,NA,5e-4,NA,5e-4,NA
CRAM,2018,3,1,0.026,NA,0.0425,NA,0.2524,NA,0.2805,NA,0.007,NA,5e-4,NA,0.042,NA
CRAM,2018,5,4,0.059399999999999994,0.037744756810273214,0.0786,0.07826991759290411,0.478,0.019316141781767226,0.506525,0.024534108909842197,0.025750000000000002,0.0063966136874651644,0.0055249999999999995,0.004072161588149469,0.086975,0.09764972691547409
CRAM,2018,6,2,0.024300000000000002,0.027718585822512663,0.0521,NA,0.21545,0.034294678887547544,0.28135,0.08633773798287744,0.0125,7.07106781186547e-4,5e-4,0,0.019299999999999998,9.899494936611679e-4
CRAM,2018,7,2,0.0049499999999999995,0.004879036790187178,0.060399999999999995,0.07467047609329941,0.2606,0.014142135623730963,0.3197,0.03238549057834388,0.0165,0.004949747468305833,5e-4,0,0.034,0.012727922061357852
CRAM,2018,8,2,0.02975,0.011384419177103415,0.1765,0.2081722363813196,0.4082,0.22160726522386398,0.3982,0.14919953083036153,0.015,0.0014142135623730952,0.01005,0.013505739520663057,0.01705,0.021142492757477774
CRAM,2018,9,2,0.01915,0.019162593770155438,0.13185,0.17713024868723015,0.34504999999999997,0.11957175669864517,0.3338,0.11539982668964456,0.0635,0.03323401871576773,7.5e-4,3.5355339059327376e-4,0.35365,0.49165134495900653
CRAM,2018,10,4,0.0351,0.01510209698463539,0.207875,0.22384524974484793,0.44632499999999997,0.3231567872823758,0.456175,0.2742388420701925,0.19925,0.31905629074924485,0.009925,0.01088680393871406,0.48092500000000005,0.5113038129788069
CRAM,2018,11,1,NA,NA,NA,NA,0.2696,NA,0.344,NA,0.016,NA,5e-4,NA,0.0477,NA
CRAM,2019,1,1,NA,NA,NA,NA,0.2735,NA,0.3629,NA,0.007,NA,0.006,NA,0.1481,NA
CRAM,2019,2,1,NA,NA,0.0713,NA,0.3244,NA,0.4162,NA,0.211,NA,0.0027,NA,0.259,NA
CRAM,2019,3,1,NA,NA,NA,NA,NA,NA,0.3494,NA,NA,NA,NA,NA,0.371,NA
CRAM,2019,5,3,0.039599999999999996,0.021354624791833733,0.08223333333333332,0.039542677366780986,0.29736666666666667,0.05012088719619131,0.33294999999999997,0.026233661582020888,0.043333333333333335,0.01006644591369433,5e-4,0,0.0655,0.028425692603699208
CRAM,2019,6,2,NA,NA,0.0819,0.04879036790187178,0.33075,0.07912524881477467,0.2725,NA,0.041,0.01131370849898476,5e-4,0,0.087,NA
CRAM,2019,7,6,0.018533333333333315,0.011392629196107439,0.11935,0.09711120944566595,0.322325,0.0678354387470148,0.341475,0.08936093525696784,0.0269,0,0.0057,0.0013875638123464244,0.1322166666666665,0.09499334888997914
CRAM,2019,8,4,0.027225,0.02150629752731356,0.08097499999999999,0.08963362929168939,0.2729,0.0657024606337794,0.2711,0.05092229374252497,0.0069,0,0.010875,0.003492969128597236,0.030125,0.010536642412710668
CRAM,2019,9,8,NA,NA,0.14975,0.12462391710376347,0.36505,0.10738556700041213,0.3927166666666665,0.11757712902533943,0.0278125,3.3407655239053077e-4,0.0098125,0.002418714239307441,0.184725,0.01590204389378925
CRAM,2019,10,12,NA,NA,0.15419166666666664,0.12626659536892806,0.2923222222222223,0.12172745458052278,0.28542222222222235,0.060058657074249296,0.31595,0.41557111304805583,0.015716666666666667,0.005031822972267848,0.051725,0.011728849435938254
CRAM,2019,11,2,NA,NA,0.01455,0,0.1974,0,0.2443,0,NA,NA,0.00265,0,0.1255,0
CRAM,2020,1,1,0.0154,NA,0.0689,NA,0.2406,NA,0.2445,NA,0.0158,NA,0.006,NA,0.007,NA
CRAM,2020,2,1,0.0162,NA,0.0395,NA,0.2854,NA,0.3281,NA,0.0121,NA,0.025,NA,0.027,NA
CRAM,2020,3,1,0.0438,NA,0.0878,NA,0.3699,NA,0.3603,NA,0.0332,NA,0.014,NA,0.021,NA
CRAM,2020,7,2,6.000000000000001e-4,1.4142135623730948e-4,0.047799999999999995,0.06646803743153547,0.3028,0.09248956697920044,0.27741666666666653,0.04650405597603553,0.0019500000000000001,0.0024748737341529167,0.01295,0.009263098833543773,0.01745,0.010960155108391486
CRAM,2020,8,2,3e-4,NA,0.05995,0.07997377695219852,0.30863333333333354,0.06538380703371631,0.3273666666666665,0.051524514122460015,0.0014500000000000001,0.0017677669529663688,0.013600000000000001,0.004808326112068524,0.019200000000000002,0.009192388155425118
CRAM,2020,9,2,NA,NA,0.08230000000000001,0.11200571413994913,0.3559,0.17564532444673844,0.3772,0.1606546606855836,0.0115,NA,0.01725,0.013505739520663059,0.02585,0.019728279195104677
CRAM,2020,10,4,0.0052,0.004950757517794625,0.196575,0.2635092961674534,0.41459166666666675,0.2704350738470635,0.4096083333333335,0.1959311034900146,0.0092,0.003959797974644666,0.02225,0.012269881825021787,0.027299999999999998,0.016482515989172688
CRAM,2021,2,1,0.0078,NA,0.0299,NA,0.2913,NA,0.3463,NA,8e-4,NA,0.0055,NA,0.0146,NA
CRAM,2021,3,1,0.0047,NA,0.0297,NA,0.2894,NA,0.3755,NA,5e-4,NA,0.0052,NA,0.0188,NA
CRAM,2021,4,2,0.018699999999999998,0.024465894629054543,0.0146,0.017536248173426378,0.2719,0.03125411972844539,0.3001,0.029274220741123062,4e-4,NA,0.0052499999999999995,6.363961030678932e-4,0.0135,1.4142135623730864e-4
CRAM,2021,5,2,0.008900000000000002,0.012303657992645926,0.0098,0.012869343417595165,0.2555,0.0033941125496954466,0.29485,0.007424621202458717,NA,NA,0.008,0.00282842712474619,0.0148,1.414213562373099e-4
CRAM,2021,6,2,0.00935,0.012515790027001893,0.029199999999999997,0.03804234482783626,0.2662,0.055295750288788026,0.32635000000000003,0.06540737725975562,1e-4,NA,0.00825,0.0014849242404917494,0.01635,0.004171930009000631
CRAM,2021,7,2,6e-4,0,0.03925,0.05267945519839779,0.25095,0.07714534982745233,0.24280000000000002,0.048083261120685214,0.0021,NA,0.00795,0.00417193000900063,0.0177,0.007212489168102785
CRAM,2021,8,6,6.66666666666665e-4,1.4605934866804613e-4,0.2838333333333333,0.3086599185727446,0.240516666666667,0.07103961570842005,0.2644333333333335,0.06744290424746928,0.0023,0,0.011250000000000015,0.005385938482134154,0.01936666666666665,0.008507957059913564
CRAM,2021,9,2,NA,NA,0.0232,0.029415642097360375,0.31620000000000004,0.148492424049175,0.34085,0.15916973644509186,0.0047,NA,0.0104,0.007495331880577403,0.01845,0.016051323932934628
CRAM,2021,10,4,6.666666666666666e-4,1.5275252316519468e-4,0.079625,0.12374286174698457,0.332825,0.12091711693001396,0.36435,0.13145337576494562,0.0014333333333333333,9.29157324317757e-4,0.010375,0.003718758753491099,0.0177,0.00852955645583833
CRAM,2021,11,3,0.0013333333333333333,2.0816659994661325e-4,0.15976666666666667,0.26633485189387684,0.3646666666666667,0.23369358855846545,0.4015666666666667,0.22872691868980644,0.0029,NA,0.0094,0.005402777063696039,0.020466666666666668,0.009654705243213454
CRAM,2022,1,1,0.0085,NA,0.0835,NA,0.2574,NA,0.4128,NA,0.0011,NA,0.0089,NA,0.02,NA
CRAM,2022,2,1,0.0162,NA,0.0763,NA,0.3587,NA,0.3672,NA,0.0015,NA,0.0069,NA,0.0131,NA
