siteID,horizontalPosition,verticalPosition,date,max_DO_sat,mean_DO_sat,min_DO_sat
BARC,103,100,2021-09-22,96.49,82.37081632653062,72.35
BARC,103,100,2021-09-23,98.91,83.84885416666667,68.89
BARC,103,100,2021-09-24,94.69,82.59875,71.94
BARC,103,100,2021-09-25,93.7,81.42586805555555,70.82
BARC,103,100,2021-09-26,98.9,83.26237762237763,70.79
BARC,103,100,2021-09-27,93.86,81.87097902097902,68.24
BARC,103,100,2021-09-28,101.32,82.64545454545454,63.54
BARC,103,100,2021-09-29,96.97,82.08163701067616,64.86
BARC,103,100,2021-09-30,96,82.07213286713286,66.12
BARC,103,100,2021-10-01,91.94,80.78767361111112,62.81
BARC,103,100,2021-10-02,93.37,83.04524822695035,67.85
BARC,103,100,2021-10-03,97.88,84.03913194444445,70.65
BARC,103,100,2021-10-04,97.47,87.41715415019763,76.41
BARC,103,100,2021-10-05,96.12,86.33295138888889,74.73
BARC,103,100,2021-10-06,95.28,88.70072916666666,81.2
BARC,103,100,2021-10-07,96.34,82.25933823529412,74.34
BARC,103,100,2021-10-08,97.95,91.32784722222222,84.7
BARC,103,100,2021-10-09,94.45,83.88045138888889,70.96
BARC,103,100,2021-10-10,88.98,81.4334375,71.32
BARC,103,100,2021-10-11,87.97,80.68159722222222,72.53
BARC,103,100,2021-10-12,86.81,80.13805555555555,72.67
BARC,103,100,2021-10-13,89.07,77.80614583333333,70.33
BARC,103,100,2021-10-14,90.04,81.68438596491228,76.44
BARC,103,100,2021-10-15,88.93,81.29798611111111,74.95
BARC,103,100,2021-10-16,86.72,80.4401388888889,72.28
BARC,103,100,2021-10-17,87.64,79.14350694444444,71.06
BARC,103,100,2021-10-18,82.83,76.50815972222222,69.63
BARC,103,100,2021-10-19,83.41,77.90725694444444,72.95
BARC,103,100,2021-10-20,83.89,78.09784722222223,72.81
BARC,103,100,2021-10-21,86.46,78.0734375,71.6
BARC,103,100,2021-10-22,87.2,81.87697916666667,77.04
BARC,103,100,2021-10-23,86.89,82.1778125,77.3
BARC,103,100,2021-10-24,85.78,79.03659722222223,71.64
BARC,103,100,2021-10-25,87.03,81.56770833333333,76.72
BARC,103,100,2021-10-26,87.79,82.77871527777778,79.12
BARC,103,100,2021-10-27,85.41,78.39871527777778,72.52
BARC,103,100,2021-10-28,81.09,74.33826388888889,70.64
BARC,103,100,2021-10-29,75.15,71.57149305555555,69.9
BARC,103,100,2021-10-30,75.68,70.96986111111111,68.38
BARC,103,100,2021-10-31,76.48,72.79052083333333,70.31
BARC,103,100,2021-11-01,79.61,73.47645833333334,69.87
BARC,103,100,2021-11-02,82.88,75.30715277777777,68.37
