siteID,namedLocation,collectDate,eventID,sampleID,samplerType,towsTrapsVolume,sampleNumber,towsTrapsNumber,zooDepth1,zooDepth2,zooDepth3,taxonID,nauplii,zooMinimumLength,zooMeanLength,zooMaximumLength,zooWidth,adjCountPerBottle,aquaticSiteType,countPerL
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,ACRHAR,N,0.375,0.375,0.375,NA,74,lake,0.14079147640791476
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,GASSTY,N,0.062,0.062,0.062,NA,74,lake,0.14079147640791476
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,CALSP1,N,0.55,0.725,0.875,NA,15985,lake,30.412861491628615
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,COPSP,Y,0.075,0.165,0.25,NA,8030,lake,15.277777777777777
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,HESAUG,N,0.9,1.005,1.075,NA,2156,lake,4.101978691019787
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,ROTSP,N,0.162,0.175,0.188,NA,297,lake,0.5650684931506849
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,MONBUL,N,0.112,0.112,0.112,NA,74,lake,0.14079147640791476
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,TRISIM,N,0.125,0.125,0.125,NA,223,lake,0.42427701674277013
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,CYCSP,N,0.375,0.4,0.425,NA,149,lake,0.2834855403348554
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,LECMIR,N,0.112,0.112,0.112,NA,297,lake,0.5650684931506849
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,2,2,3.6,3.6,NA,SKIMIS,N,0.85,0.902,1,NA,743,lake,1.4136225266362252
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,CYCSP,N,0.35,0.388,0.425,NA,219,lake,0.3191489361702127
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,ROTSP,N,0.188,0.196,0.212,NA,94,lake,0.136986301369863
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,DIPPRO,N,0.188,0.188,0.188,NA,31,lake,0.045176333430486736
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,LECINE,N,0.125,0.125,0.125,NA,125,lake,0.18216263480034975
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,MONBUL,N,0.112,0.112,0.112,NA,63,lake,0.09180996793937626
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,TRISIM,N,0.125,0.125,0.125,NA,188,lake,0.273972602739726
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,HESAUG,N,0.9,1.021,1.075,NA,876,lake,1.276595744680851
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,COPSP,Y,0.088,0.162,0.238,NA,6665,lake,9.712911687554648
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,CALSP1,N,0.375,0.565,0.85,NA,7009,lake,10.21422325852521
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,LECMIR,N,0.112,0.112,0.112,NA,31,lake,0.045176333430486736
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,LEPSP32,N,0.062,0.062,0.062,NA,31,lake,0.045176333430486736
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,1,2,4.7,4.7,NA,SKIMIS,N,0.775,0.879,1,NA,1126,lake,1.6409210142815505
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,LECMIR,N,0.112,0.112,0.112,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,PTYBRA,N,0.188,0.188,0.188,NA,879,lake,36.625
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,CALSP1,N,0.875,0.875,0.875,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,MONBUL,N,0.112,0.112,0.112,NA,818,lake,34.083333333333336
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,OXYSP3,N,0.3,0.3,0.3,NA,18,lake,0.75
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,ACRHAR,N,0.55,0.556,0.575,NA,53,lake,2.2083333333333335
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,CHYSPH,N,0.225,0.25,0.275,NA,35,lake,1.4583333333333333
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,LECINE,N,0.125,0.125,0.125,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,CYCSP,N,0.425,0.5,0.575,NA,193,lake,8.041666666666666
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,LEPSP32,N,0.062,0.062,0.062,NA,35,lake,1.4583333333333333
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,MACSP4,N,0.35,0.362,0.375,NA,35,lake,1.4583333333333333
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,COPSP,Y,0.15,0.173,0.188,NA,396,lake,16.5
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,LATOCC1,N,0.55,0.55,0.55,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,LECLEO,N,0.175,0.175,0.175,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,ROTSP,N,0.262,0.308,0.375,NA,255,lake,10.625
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24,3,2,1,1,NA,TROPRA1,N,0.35,0.396,0.412,NA,88,lake,3.6666666666666665
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,CALSP1,N,0.4,0.492,0.55,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,MONBUL,N,0.112,0.112,0.112,NA,10,lake,0.4166666666666667
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,TROPRA1,N,0.475,0.5,0.525,NA,5,lake,0.20833333333333334
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,GASSTY,N,0.1,0.103,0.112,NA,9,lake,0.375
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,CHYSPH,N,0.225,0.225,0.225,NA,1,lake,0.041666666666666664
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,PTYBRA,N,0.15,0.176,0.188,NA,32,lake,1.3333333333333333
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,COPSP,Y,0.088,0.148,0.275,NA,45,lake,1.875
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,LECSP1,N,0.138,0.14,0.15,NA,25,lake,1.0416666666666667
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,CYCSP,N,0.225,0.328,0.5,NA,60,lake,2.5
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,1.5,NA,LECLIG,N,0.112,0.112,0.112,NA,13,lake,0.5416666666666666
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,TRISIM,N,NA,NA,NA,NA,6,lake,0.010958904109589041
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,LECSP1,N,0.138,0.139,0.15,NA,114,lake,0.20821917808219179
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,SKIMIS,N,1,1.042,1.075,NA,177,lake,0.3232876712328767
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,HESAUG,N,1.025,1.09,1.125,NA,251,lake,0.45844748858447487
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,GASSTY,N,0.1,0.105,0.112,NA,480,lake,0.8767123287671232
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,CALSP1,N,0.425,0.602,0.9,NA,411,lake,0.7506849315068493
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,BDESP,N,0.188,0.188,0.188,NA,114,lake,0.20821917808219179
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,MONBUL,N,0.112,0.112,0.112,NA,86,lake,0.15707762557077626
