siteID,namedLocation,collectDate,eventID,sampleID,samplerType,towsTrapsVolume,taxonID,nauplii,zooMinimumLength,zooMaximumLength,zooWidth,adjCountPerBottle,aquaticSiteType,countPerL,mean_body_length,max_body_length
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,ACRHAR,N,0.375,0.375,,74,lake,0.1407914764079147,0.375,0.375
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,GASSTY,N,0.062,0.062,,74,lake,0.1407914764079147,0.062,0.062
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,CALSP1,N,0.55,0.875,,15985,lake,30.41286149162861,0.7125,0.875
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,HESAUG,N,0.9,1.075,,2156,lake,4.101978691019787,0.9875,1.075
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,ROTSP,N,0.162,0.188,,297,lake,0.5650684931506849,0.175,0.188
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,MONBUL,N,0.112,0.112,,74,lake,0.1407914764079147,0.112,0.112
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,TRISIM,N,0.125,0.125,,223,lake,0.4242770167427701,0.125,0.125
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,CYCSP,N,0.375,0.425,,149,lake,0.2834855403348554,0.4,0.425
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,LECMIR,N,0.112,0.112,,297,lake,0.5650684931506849,0.112,0.112
BARC,BARC.AOS.littoral1,2014-07-02T16:00:00Z,BARC.20140702,BARC.IN.20140702.ZOO,tow net,525.6,SKIMIS,N,0.85,1.0,,743,lake,1.4136225266362252,0.925,1.0
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,CYCSP,N,0.35,0.425,,219,lake,0.3191489361702127,0.38749999999999996,0.425
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,ROTSP,N,0.188,0.212,,94,lake,0.136986301369863,0.2,0.212
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,DIPPRO,N,0.188,0.188,,31,lake,0.0451763334304867,0.188,0.188
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,LECINE,N,0.125,0.125,,125,lake,0.1821626348003497,0.125,0.125
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,MONBUL,N,0.112,0.112,,63,lake,0.0918099679393762,0.112,0.112
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,TRISIM,N,0.125,0.125,,188,lake,0.273972602739726,0.125,0.125
