taxonID,mean_length_mm,std_dev,min_length,max_length,n_samples,avg_density_per_L
CALSP1,0.6914610027855154,0.20948268920920704,0.33,1.65,359,15.334381123072822
CYCSP,0.557948275862069,0.16520862926652755,0.2,1.425,319,14.924125897705931
POLSP20,0.10655913978494623,0.053745562781329415,0.05,0.896,279,42.15902247340546
KERCOC,0.11543714285714285,0.07039861090303674,0.0685,1,176,28.050092772301408
MESEDA,1.0556454545454546,0.24463058896105425,0.732,2.142,165,5.009842444351276
DIASP10,0.580957055214724,0.16107012312689845,0.19,1.14,163,11.611589923257755
KERTAU,0.16145394736842106,0.04051111184589469,0.08,0.3,152,40.511454956943275
KELLON,0.16054814814814813,0.1242540559726302,0.1,1.27,135,12.644078013746826
KERSP,0.11361904761904762,0.025202494207631803,0.05,0.22,126,37.53935798082456
CYCSP1,0.6256370967741935,0.1649958035769602,0.2,1.124,124,4.020130234583991
CONUNI,0.12148333333333333,0.05138714212086658,0.075,0.28,120,22.07334263833569
TROPRA1,0.47342307692307695,0.04995776730988747,0.375,0.613,118,2.813819186664869
DAPSP1,0.7850877192982456,0.32450792050013005,0.2,2.012,114,4.106575581608686
CONSP8,0.15779411764705883,0.05874181438408705,0.075,0.35,106,51.796599483375196
LEPSIC,1.0937821782178219,0.14157745964385687,0.815,1.686,101,21.970769392095512
TRISP31,0.2371980198019802,0.1122208554415783,0.069,1,101,3.8031025836610093
BOSLON,0.28032,0.1167402477920338,0.163,1,100,26.447573094842095
ARCFLO,0.9917631578947368,0.0652105363706771,0.85,1.17,95,9.897914946246816
GASSTY,0.0923695652173913,0.02812050887855884,0.062,0.29,92,4.618400277231483
SYNSP8,0.15112048192771085,0.03551413239493418,0.099,0.26,83,17.87942794597086
BRAANG,0.13174074074074074,0.14037848640174333,0.07,1.005,81,134.46616917526353
DAPAMB,0.7509722222222223,0.1389000017463391,0.36,1.191,72,7.069029894027871
LEPMIN,0.8896478873239436,0.10305409101071279,0.6,1.1,71,4.260921755490473
ASPSP4,0.42465079365079367,0.1475029970969599,0.1,0.725,63,3.280118813540451
POMSP5,0.10811290322580645,0.029122046653165878,0.05,0.2,62,39.1360091059811
COLSP12,0.11760869565217391,0.07551849759006643,0.01,0.35,61,5.481753939297697
KERCRA,0.16438333333333333,0.01952928411010263,0.1,0.2,61,19.344137149809836
KERQUA,0.1278360655737705,0.02934915122444988,0.09,0.305,61,171.19534687393434
HOLGIB,0.7782833333333333,0.39525533869684987,0.3,2.3,60,2.326659602590278
DIASP,1.10064406779661,0.2011521780001455,0.577,1.581,59,10.26586156661334
FILLON,0.14025454545454547,0.02472681718732696,0.08,0.2,56,93.18160598704085
LEPSP31,0.9807321428571428,0.27483340349259705,0.101,1.331,56,7.579696884534286
BDESP,0.19740909090909092,0.0793978261613902,0.1,0.505,55,0.9388578269488405
KERTES,0.11653703703703704,0.01413241017909898,0.1,0.151,55,39.466784638990084
BRASP22,0.12731481481481483,0.03473827972521013,0.08,0.25,54,105.6913074382832
KERGRA,0.1668148148148148,0.011149200959733884,0.15,0.18,54,35.91077979138061
BRAHAV,0.12435294117647058,0.12653881989799207,0.08,1,51,162.35416107082102
