taxonID,scientificName,phylum,class,order,family,genus
ACAROB,Acanthocyclops robustus,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops
ACAROB1,Acanthocyclops robustus cx.,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops
ACASP1,Acari sp.,Arthropoda,Arachnida,,,
ACASP20,Acanthocyclops sp.,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops
ACAVER,Acanthocyclops vernalis,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Acanthocyclops
ACRHAR,Acroperus harpae,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Acroperus
ACRSP6,Acroperus sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Acroperus
AGLLEP,Aglaodiaptomus leptopus,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Aglaodiaptomus
ALOGUT,Alona guttata,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alona
ALOSP1,Alonella sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alonella
ALOSP2,Alona sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alona
AMPSP1,Amphipoda sp.,Arthropoda,Malacostraca,Amphipoda,,
ANUSP1,Anuraeopsis sp.,Rotifera,Monogonta,Ploima,Brachionidae,Anuraeopsis
ARCFLO,Arctodiaptomus floridanus,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Arctodiaptomus
ASCECA,Ascomorpha ecaudis,Rotifera,Monogonta,Ploima,Gastropodidae,Ascomorpha
ASCOVA,Ascomorpha ovalis,Rotifera,Monogonta,Ploima,Gastropodidae,Ascomorpha
ASCSAL,Ascomorpha saltans,Rotifera,Monogonta,Ploima,Gastropodidae,Ascomorpha
ASCSP1,Ascomorpha sp.,Rotifera,Monogonta,Ploima,Gastropodidae,Ascomorpha
ASPBRI,Asplanchna brightwellii,Rotifera,Monogonta,Ploima,Asplanchnidae,Asplanchna
ASPHER,Asplanchna herrickii,Rotifera,Monogonta,Ploima,Asplanchnidae,Asplanchna
ASPPRI,Asplanchna priodonta,Rotifera,Monogonta,Ploima,Asplanchnidae,Asplanchna
ASPSP4,Asplanchna sp.,Rotifera,Monogonta,Ploima,Asplanchnidae,Asplanchna
BDESP,Bdelloidea sp.,Rotifera,Bdelloidea,,,
BEACRU,Beauchampia crucigera,Rotifera,Monogonta,Flosculariaceae,Flosculariidae,Beauchampia
BEASP1,Beauchampiella sp.,Rotifera,Monogonta,Ploima,Euchlanidae,Beauchampiella
BOSCOR,Bosmina coregoni,Arthropoda,,,Bosminidae,Bosmina
BOSLON,Bosmina longirostris,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina
BOSSP,Bosminidae sp.,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,
BOSSP1,Bosmina sp.,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina
BOSTUB,Bosmina tubicen,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina
BRAANG,Brachionus angularis,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRACAL,Brachionus calyciflorus,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRACAU,Brachionus caudatus,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRAHAV,Brachionus havanaensis,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRARUB,Brachionus rubens,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRASP22,Brachionus sp.,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRAVAR,Brachionus variabilis,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
BRAZAH,Brachionus zahniseri,Rotifera,Monogonta,Ploima,Brachionidae,Brachionus
CALSP1,Calanoida sp.,Arthropoda,Maxillopoda,Calanoida,,
CAMSP12,Camptocercus sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Camptocercus
CEPGIB,Cephalodella gibba,Rotifera,Monogonta,Ploima,Notommatidae,Cephalodella
CEPSP5,Cephalodella sp.,Rotifera,Monogonta,Ploima,Notommatidae,Cephalodella
CERDUB,Ceriodaphnia dubia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia
CERRET,Ceriodaphnia reticulata,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia
CERSP19,Ceriodaphnia sp.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia
CHASP13,Chaoborus sp.,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus
CHASP4,Chaoboridae sp.,Arthropoda,Insecta,Diptera,Chaoboridae,
CHISP2,Chironomidae sp.,Arthropoda,Insecta,Diptera,Chironomidae,
CHYSP,Chydoridae sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,
CHYSP2,Chydorus sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus
CHYSPH,Chydorus sphaericus,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus
CLASP,Cladocera sp.,Arthropoda,Branchiopoda,Diplostraca,,
COLSP12,Collotheca sp.,Rotifera,Monogonta,Collothecaceae,Collothecidae,Collotheca
CONSP1,Conochilidae sp.,Rotifera,Monogonta,Flosculariaceae,Conochilidae,
CONSP8,Conochiloides sp.,Rotifera,Monogonta,Flosculariaceae,Conochilidae,Conochiloides
CONSP9,Conochilus sp.,Rotifera,Monogonta,Flosculariaceae,Conochilidae,Conochilus
CONUNI,Conochilus unicornis,Rotifera,Monogonta,Flosculariaceae,Conochilidae,Conochilus
COPSP,Copepoda sp.,Arthropoda,Maxillopoda,,,
CYCCOL,Cyclops columbianus,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Cyclops
CYCSP,Cyclopoida sp.,Arthropoda,Maxillopoda,Cyclopoida,,
CYCSP1,Cyclopidae sp.,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,
CYCSP4,Cyclops sp.,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Cyclops
CYCSTR,Cyclops strenuus,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Cyclops
DAPAMB,Daphnia ambigua,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPCAT1,Daphnia catawba,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPLON,Daphnia longiremis,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPLON1,Daphnia longispina cx.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPPUL,Daphnia pulex cx.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPPUL1,Daphnia pulex,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPROS,Daphnia rosea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPSP1,Daphnia sp.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia
DAPSP2,Daphniopsis sp.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphniopsis
DIABIR,Diaphanosoma birgei,Arthropoda,Branchiopoda,Diplostraca,Sididae,Diaphanosoma
DIASP,Diaptomidae sp.,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,
DIASP10,Diaphanosoma sp.,Arthropoda,Branchiopoda,Diplostraca,Sididae,Diaphanosoma
DIATHO,Diacyclops thomasi,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Diacyclops
DICSP1,Dicranophoridae sp.,Rotifera,Monogonta,Ploima,Dicranophoridae,
DIPPRO,Dipleuchlanis propatula,Rotifera,Monogonta,Ploima,Euchlanidae,Dipleuchlanis
DIPSP18,Dipleuchlanis sp.,Rotifera,Monogonta,Ploima,Euchlanidae,Dipleuchlanis
DISACU,Disparalona acutirostris,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Disparalona
DISHAM,Disparalona hamata,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Disparalona
DISROS,Disparalona rostrata,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Disparalona
EPILAC,Epischura lacustris,Arthropoda,Maxillopoda,Calanoida,Temoridae,Epischura
EPISP12,Epischura sp.,Arthropoda,Maxillopoda,Calanoida,Temoridae,Epischura
EUBHAG,Eubosmina hagmanni,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Eubosmina
EUBLON,Eubosmina longispina,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Eubosmina
EUBSP2,Eubosmina sp.,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Eubosmina
EUBSP3,Eubranchipus sp.,Arthropoda,Branchiopoda,Anostraca,Chirocephalidae,Eubranchipus
EUBTUB,Eubosmina tubicen,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Eubosmina
EUCAGI,Eucyclops agilis,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Eucyclops
EUCELE,Eucyclops elegans,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Eucyclops
EUCSP6,Eucyclops sp.,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Eucyclops
EUCSP7,Euchlanis sp.,Rotifera,Monogonta,Ploima,Euchlanidae,Euchlanis
EURSP6,Eurycercus sp.,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Eurycercus
FILLON,Filinia longiseta,Rotifera,Monogonta,Flosculariaceae,Filiniidae,Filinia
FILSP1,Filinia sp.,Rotifera,Monogonta,Flosculariaceae,Filiniidae,Filinia
FILTER,Filinia terminalis,Rotifera,Monogonta,Flosculariaceae,Filiniidae,Filinia
FLOSP1,Flosculariidae sp.,Rotifera,Monogonta,Flosculariaceae,Flosculariidae,
GASHYP,Gastropus hyptopus,Rotifera,Monogonta,Ploima,Gastropodidae,Gastropus
GASSP2,Gastropodidae sp.,Rotifera,Monogonta,Ploima,Gastropodidae,
GASSP6,Gastropus sp.,Rotifera,Monogonta,Ploima,Gastropodidae,Gastropus
GASSTY,Gastropus stylifer,Rotifera,Monogonta,Ploima,Gastropodidae,Gastropus
HARSP,Harpacticoida sp.,Arthropoda,Maxillopoda,Harpacticoida,,
HESAUG,Hesperodiaptomus augustaensis,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Hesperodiaptomus
HETSEP,Heterocope septentrionalis,Arthropoda,Maxillopoda,Calanoida,Temoridae,Heterocope
HEXMIR,Hexarthra mira,Rotifera,Monogonta,Flosculariaceae,Hexarthridae,Hexarthra
HEXSP6,Hexarthra sp.,Rotifera,Monogonta,Flosculariaceae,Hexarthridae,Hexarthra
