siteID,collectDate,year,month,n_records,n_taxa,temp_mean_daily,temp_max_daily,temp_min_daily,temp_mean_monthly,temp_sd_monthly,temp_max_monthly,temp_min_monthly,n_days_monthly,temp_mean_30day,temp_sd_30day,temp_max_30day,temp_min_30day,n_days_30day
BARC,2014-07-02,2014,7,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2015-02-18,2015,2,38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2015-07-01,2015,7,34,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2015-11-05,2015,11,40,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2016-02-19,2016,2,55,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2016-07-06,2016,7,53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2016-11-01,2016,11,49,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2017-02-27,2017,2,43,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2017-06-28,2017,6,52,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2017-10-31,2017,10,62,32,22.4908333333333,22.88,22.01,27.174624084877603,1.9183524236765457,30.96,22.01,31,27.1032018321513,1.9087658237827068,30.96,22.01,30
BARC,2018-02-14,2018,2,47,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2018-07-09,2018,7,42,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2018-10-30,2018,10,45,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARC,2019-02-15,2019,2,50,22,17.9079166666667,18.54,17.17,19.008817677342144,2.3855133645331295,24.57,13.97,28,16.688228417967835,1.497709768737697,20.88,13.97,30
BARC,2019-07-09,2019,7,41,16,32.0058333333333,33.08,30.74,31.772596698775118,0.6703328272919015,33.97,30.01,31,30.940329807478864,1.058502507994113,33.54,28.97,30
BARC,2019-10-29,2019,10,35,17,27.0891489361702,28.2,25.8,27.42080335661556,1.0731086730081572,29.98,25.67,28,27.480962880485723,1.1345102621638794,29.98,25.67,27
BARC,2020-02-11,2020,2,51,27,17.6827083333333,18.62,16.6,17.714569129008517,1.5191043412353025,22.21,15.12,25,17.411047842309923,1.9247779460696846,22,15.12,30
BARC,2020-07-06,2020,7,59,33,30.72875,31.11,30.38,31.456411290322592,0.4976336617560376,33.2,29.94,31,30.247724407718554,1.1906124835804333,32.74,27.49,30
BARC,2020-10-27,2020,10,36,16,27.1439583333333,27.57,26.74,27.017940379946808,0.6751465999430452,29.32,25.02,31,27.107177281500586,0.7554290334153326,29.32,25.02,30
BARC,2021-02-10,2021,2,48,26,16.8895833333333,17.49,16.24,17.82333042184265,2.0027502413949128,21.73,14.19,28,15.50727777777778,1.0057452104387965,18.39,13.88,30
BARC,2021-07-13,2021,7,53,29,30.0939583333333,30.8,29.53,30.275979641013386,1.1989004610092873,32.72,27.63,31,29.122923611111105,0.5850743427975763,31.27,27.63,30
BARC,2021-11-02,2021,11,35,22,23.3479166666667,23.9,22.95,20.16997000591016,1.6459115924558168,24.3,17.29,30,26.82993860911546,1.5128512155965532,29.1,22.95,30
BARC,2022-02-16,2022,2,34,19,15.395625,15.67,15.14,17.133040025334164,2.579088782900031,23.14,13.07,28,15.023249871248595,1.0174428034900178,17.76,13.07,22
BARC,2022-07-11,2022,7,23,11,31.2122916666667,31.52,30.93,31.67432046323587,0.43225818331561877,34.02,30.59,31,31.46544533096926,0.40995874879936844,33.27,30.45,30
BARC,2022-11-01,2022,11,39,20,24.4810416666667,25.53,23.31,22.10460031974779,2.067819173760429,25.84,18.39,30,24.82541150636803,1.189800610828961,27.77,22.48,30
BARC,2023-02-07,2023,2,37,18,18.05125,18.59,17.57,19.942928400856395,1.6066825403664817,24.42,17.48,28,17.048147364953888,1.4343250943585986,21.38,14.55,30
BARC,2023-06-28,2023,6,27,12,30.3667391304348,31.06,29.56,29.023759765590963,0.9533483814380855,32.1,27.2,30,28.781704210035407,0.8325856901350571,31.63,26.56,30
BARC,2023-11-01,2023,11,31,15,24.9464583333333,25.54,24.31,21.4979896616766,1.3025112875250777,25.54,17.47,30,25.339147891288295,1.293895290128037,28.14,23.55,30
BARC,2024-02-07,2024,2,34,18,15.8691666666667,16.13,15.61,16.94543905307984,0.7680451219477512,19.14,15.49,29,16.019930171256743,1.531369373964674,20.67,13.13,30
BARC,2024-07-11,2024,7,22,11,31.56,31.96,31.22,31.697217861299283,0.32140081421738426,33.55,30.39,31,31.348246778959812,0.4787585511716581,33.45,29.95,30
BARC,2024-10-30,2024,10,29,15,24.162,24.54,23.72,25.98495731710167,2.326206102222627,31.4,22.63,31,26.04088644989395,2.3446780659707067,31.4,22.63,30
CRAM,2015-05-13,2015,5,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2015-07-13,2015,7,58,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2015-09-14,2015,9,54,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2016-04-29,2016,4,43,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2016-07-13,2016,7,45,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2016-09-19,2016,9,48,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2017-05-03,2017,5,38,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2017-07-17,2017,7,45,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAM,2017-09-14,2017,9,50,28,19.395,20.21,18.34,19.562162670724614,1.1362891371452826,21.97,17.13,20,18.466375751618877,0.7882179662316008,20.21,17.13,4
CRAM,2018-05-10,2018,5,60,25,NA,NA,NA,22.53991481208853,1.8157236862365747,25.61,19.29,7,NA,NA,NA,NA,NA
