"","siteID","date","meanChlorophyll","maxChlorophyll","minChlorophyll"
"1","BARC",2017-10-21,1.36944881889764,2.72,0.76
"2","BARC",2017-10-22,1.43239583333333,3.57,0.82
"3","BARC",2017-10-23,1.49347222222222,3.02,0.84
"4","BARC",2017-10-24,1.62625,3.23,1.07
"5","BARC",2017-10-25,1.32447916666667,2.44,0.83
"6","BARC",2017-10-26,1.28191637630662,2.08,0.67
"7","BARC",2017-10-27,1.24278169014085,3.18,0.62
"8","BARC",2017-10-28,1.268606271777,2.96,0.57
"9","BARC",2017-10-29,1.12914590747331,2.73,0.5
"10","BARC",2017-10-30,1.10768421052632,2,0.3
"11","BARC",2017-10-31,0.905173611111111,2.15,0.49
"12","BARC",2017-11-01,0.737288732394366,1.75,0.37
"13","BARC",2017-11-02,0.664201388888889,1.6,0.18
"14","BARC",2017-11-03,0.592682926829268,1.06,0.21
"15","BARC",2017-11-04,0.458919860627178,1.11,0.12
"16","BARC",2017-11-05,0.45,0.53,0.36
"17","BARC",2017-11-06,0.39,0.71,0.18
"18","BARC",2017-11-07,0.331631944444444,0.74,0.02
"19","BARC",2017-11-08,0.300177304964539,0.8,0.01
"20","BARC",2017-11-09,0.320734265734266,0.65,0.02
"21","BARC",2017-11-10,0.402070175438596,2.11,0.02
"22","BARC",2017-11-11,0.519581881533101,1.17,0.18
"23","BARC",2017-11-12,0.445416666666667,1,0.14
"24","BARC",2017-11-13,0.41006993006993,1.03,0.05
"25","BARC",2017-11-14,0.431083916083916,0.74,0.13
"26","BARC",2017-11-15,0.514459930313589,1.15,0.2
"27","BARC",2017-11-16,0.501909722222222,1.14,0.14
"28","BARC",2017-11-17,0.480383275261324,1.14,0.12
"29","BARC",2017-11-18,0.448292682926829,1.01,0.09
"30","BARC",2017-11-19,0.443379790940767,1.08,0.11
"31","BARC",2017-11-20,0.538815331010453,1.14,0.1
"32","BARC",2017-11-21,0.426175438596491,0.87,0.12
"33","BARC",2017-11-22,1.54503787878788,2.92,0.24
"34","BARC",2017-11-23,1.60739583333333,2.5,0.98
"35","BARC",2017-11-24,1.84726315789474,3.07,1.41
"36","BARC",2017-11-25,1.77367132867133,2.93,1.04
"37","BARC",2017-11-26,1.58944055944056,2.83,0.91
"38","BARC",2017-11-27,1.64560975609756,3.26,0.98
"39","BARC",2017-11-28,1.60821678321678,2.5,0.83
"40","BARC",2017-11-29,1.60903614457831,2.9,0.97
"41","BARC",2017-11-30,1.51008097165992,2.36,0.94
"42","BARC",2017-12-01,1.57292181069959,2.62,1.12
"43","BARC",2017-12-02,1.63615969581749,3.78,1.02
"44","BARC",2017-12-03,1.44284,2.23,1
"45","BARC",2017-12-04,1.54212355212355,2.4,1.03
"46","BARC",2017-12-05,1.61484098939929,2.71,1.05
"47","BARC",2017-12-06,1.51687943262411,3.06,0.85
"48","BARC",2017-12-07,1.43594890510949,2.97,0.88
"49","BARC",2017-12-08,1.06861224489796,1.96,0.59
"50","BARC",2017-12-09,0.991596958174905,1.82,0.5
"51","BARC",2017-12-10,0.921821428571429,1.9,0.4
"52","BARC",2017-12-11,0.697553191489362,2.16,0.19
"53","BARC",2017-12-12,0.708286713286713,1.83,0.06
"54","BARC",2017-12-13,0.75740350877193,1.82,0.08
"55","BARC",2017-12-14,0.813697183098592,1.97,0.16
"56","BARC",2017-12-15,0.74303886925795,1.5,0.2
"57","BARC",2017-12-16,1.13109375,1.96,0.44
"58","BARC",2017-12-20,0.651,0.93,0.4
"59","BARC",2017-12-21,0.58412,1.17,0.15
"60","BARC",2017-12-22,0.594773519163763,1.36,0.19
"61","BARC",2017-12-23,0.427222222222222,1.47,0.06
"62","BARC",2017-12-24,0.555629370629371,1.34,0.06
"63","BARC",2017-12-25,0.562692307692308,1.1,0.08
"64","BARC",2017-12-26,0.62993031358885,1.28,0.2
"65","BARC",2017-12-27,0.772439024390244,1.67,0.26
"66","BARC",2017-12-28,1.06327526132404,1.67,0.66
"67","BARC",2017-12-29,1.22529616724739,1.93,0.73
"68","BARC",2017-12-30,1.19041958041958,2.02,0.75
"69","BARC",2017-12-31,1.09321554770318,2.06,0.55
"70","BARC",2018-01-01,0.871333333333333,1.86,0.36
"71","BARC",2018-01-02,1.10312056737589,2.2,0.68
"72","BARC",2018-01-03,1.1236170212766,2.01,0.71
"73","BARC",2018-01-04,1.17677192982456,1.93,0.69
"74","BARC",2018-01-05,0.936029411764706,2.29,0.35
"75","BARC",2018-03-08,2.77864197530864,4.29,2.21
"76","BARC",2018-03-09,3.07121323529412,6.57,1.36
"77","BARC",2018-03-10,3.34447916666667,5.91,1.92
"78","BARC",2018-03-11,3.459375,5.21,2.17
"79","BARC",2018-03-12,2.9790625,4.65,1.61
"80","BARC",2018-03-13,2.82705263157895,4.56,1.4
"81","BARC",2018-03-14,2.90853658536585,5,1.73
"82","BARC",2018-03-15,3.19748837209302,6.62,1.52
"83","BARC",2018-03-16,2.52918439716312,4.16,1.36
"84","BARC",2018-03-17,2.22688811188811,4.49,1
"85","BARC",2018-03-18,1.85878472222222,3.62,0.92
"86","BARC",2018-03-19,1.67790940766551,2.48,0.96
"87","BARC",2018-03-20,1.67859154929577,2.64,0.93
"88","BARC",2018-03-21,1.78257042253521,2.9,1.36
"89","BARC",2018-03-22,1.61670138888889,3.56,0.76
"90","BARC",2018-03-23,1.80674825174825,4.13,0.93
"91","BARC",2018-03-24,1.8868458781362,3.64,1.01
"92","BARC",2018-03-25,1.60989361702128,2.87,0.93
"93","BARC",2018-03-26,1.46837455830389,2.4,0.92
"94","BARC",2018-03-27,1.98638596491228,3.46,1.22
"95","BARC",2018-03-28,1.61494505494506,3.07,0.99
"96","BARC",2018-03-29,1.35475409836066,2.64,0.68
"97","BARC",2018-03-30,1.27442508710801,2.42,0.65
"98","BARC",2018-03-31,1.33597222222222,2.29,0.69
"99","BARC",2018-04-01,1.32957446808511,2.55,0.83
"100","BARC",2018-04-02,1.31947735191638,2.07,0.86
"101","BARC",2018-04-03,1.13418439716312,2.21,0.64
"102","BARC",2018-04-04,1.11537102473498,2.6,0.45
"103","BARC",2018-04-05,1.36487544483986,4.21,0.63
"104","BARC",2018-04-06,1.25884210526316,2.74,0.59
"105","BARC",2018-04-07,1.2812274368231,3.32,0.78
"106","BARC",2018-04-08,1.34728571428571,2.89,0.68
"107","BARC",2018-04-09,1.79143884892086,4.04,0.97
"108","BARC",2018-04-10,1.9836917562724,4.57,1.3
"109","BARC",2018-04-11,1.98078291814947,3.52,1.28
"110","BARC",2018-04-12,1.65105042016807,3.48,0.99
"111","BARC",2018-04-13,1.47530303030303,3.58,0.76
"112","BARC",2018-04-14,1.35814685314685,3.38,0.68
"113","BARC",2018-04-15,1.30605072463768,2.57,0.74
"114","BARC",2018-04-16,1.77961805555556,3.94,0.84
"115","BARC",2018-04-17,1.973074204947,4.51,0.97
"116","BARC",2018-04-18,2.20341637010676,4.85,1.32
"117","BARC",2018-04-19,2.15801444043321,6.18,0.95
"118","BARC",2018-04-20,1.89185053380783,4.68,0.99
"119","BARC",2018-04-21,2.12168421052632,4.44,1.1
"120","BARC",2018-04-22,2.12160278745645,5.34,1.04
