"","siteID","date","meanTemp","maxTemp","minTemp"
"1","CRAM","2017-09-11",17.65875,18.4,17.19
"2","CRAM","2017-09-12",17.9923913043478,18.62,17.13
"3","CRAM","2017-09-13",18.8193617021277,19.56,17.8
"4","CRAM","2017-09-14",19.395,20.21,18.34
"5","CRAM","2017-09-15",20.1627027027027,20.66,19.37
"6","CRAM","2017-09-16",20.740625,21.29,19.94
"7","CRAM","2017-09-17",21.0552083333333,21.67,20.43
"8","CRAM","2017-09-18",20.3379166666667,20.95,19.59
"9","CRAM","2017-09-19",19.3029166666667,19.59,18.86
"10","CRAM","2017-09-20",19.4591666666667,20.04,18.78
"11","CRAM","2017-09-21",18.7997916666667,18.98,18.44
"12","CRAM","2017-09-22",19.5860416666667,20.22,18.4
"13","CRAM","2017-09-23",19.4976086956522,19.85,18.88
"14","CRAM","2017-09-24",20.4451111111111,20.94,19.28
"15","CRAM","2017-09-25",21.2283333333333,21.97,20.52
"16","CRAM","2017-09-26",21.2225,21.54,20.86
"17","CRAM","2017-09-27",20.555,21.12,19.47
"18","CRAM","2017-09-28",18.9558695652174,19.45,18.41
"19","CRAM","2017-09-29",18.30125,18.54,17.95
"20","CRAM","2017-09-30",17.7277083333333,18.08,17.15
"21","CRAM","2017-10-01",17.1704166666667,17.6,16.82
"22","CRAM","2017-10-02",16.8147916666667,17.12,16.46
"23","CRAM","2017-10-03",16.6466666666667,16.86,16.38
"24","CRAM","2017-10-04",16.830625,17.24,16.48
"25","CRAM","2017-10-05",16.3741666666667,16.7,15.97
"26","CRAM","2017-10-06",15.8754166666667,16.03,15.63
"27","CRAM","2017-10-07",15.8858333333333,16.12,15.58
"28","CRAM","2017-10-08",15.5775,15.78,15.29
"29","CRAM","2017-10-09",15.7259574468085,16.15,15.24
"30","CRAM","2017-10-10",15.3952083333333,15.84,14.99
"31","CRAM","2017-10-11",14.9908333333333,15.48,14.52
"32","CRAM","2017-10-12",14.5989583333333,14.95,14.34
"33","CRAM","2017-10-13",14.1489583333333,14.33,13.98
"34","CRAM","2017-10-14",13.870625,14.14,13.47
"35","CRAM","2017-10-15",13.4070833333333,13.59,13.07
