"","domainID","siteID","collectDate","sampleID","chlorophyllGramsPerSquareMeter"
"1250","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPHYTON.1",0.7525
"1274","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPHYTON.1.REP2",2.44075
"1283","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPHYTON.2",1.7735
"1332","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPHYTON.4",10.0445
"1354","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPHYTON.5",7.81525
"1380","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPSAMMON.1",1.25673627484001
"1403","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPSAMMON.2",8.74242169080499
"1426","D10","ARIK",2017-10-12,"ARIK.20171012.EPIPSAMMON.3",7.6740906028966
"1476","D10","ARIK",2018-03-27,"ARIK.20180327.EPIPHYTON.1.CHL/PHEO.1",5.14575
"1504","D10","ARIK",2018-03-27,"ARIK.20180327.EPIPHYTON.2.REP2.CHL/PHEO.2",3.0235
"1567","D10","ARIK",2018-03-27,"ARIK.20180327.EPIPSAMMON.1.CHL/PHEO.1",9.37478949141125
"1617","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.1.CHL/PHEO.1",12.628
"1628","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.2.CHL/PHEO.1",10.364
"1640","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.2.REP2.CHL/PHEO.2",9.525625
"1644","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.3.CHL/PHEO.1",6.496875
"1656","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.4.CHL/PHEO.1",2.6275
"1667","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPHYTON.5.CHL/PHEO.1",19.365875
"1677","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPSAMMON.1.CHL/PHEO.1",8.19509262377905
"1690","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPSAMMON.2.CHL/PHEO.1",48.9508251936679
"1700","D10","ARIK",2018-07-18,"ARIK.20180718.EPIPSAMMON.3.CHL/PHEO.1",58.7137925227349
"1715","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.1.CHL/PHEO.1",0.45575
"1724","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.2.CHL/PHEO.1",4.64775
"1736","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.3.CHL/PHEO.1",5.83125
"1748","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.4.CHL/PHEO.1",6.517
"1757","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.5.CHL/PHEO.1",4.677625
"1768","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPHYTON.5.REP2.CHL/PHEO.2",5.605375
"1774","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPSAMMON.1.CHL/PHEO.1",8.16647019198383
"1787","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPSAMMON.2.CHL/PHEO.1",7.44316268103739
"1797","D10","ARIK",2018-10-15,"ARIK.20181015.EPIPSAMMON.3.CHL/PHEO.1",23.6670596160323
"1810","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.1.CHL/PHEO.1",4.728625
"1820","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.2.CHL/PHEO.1",26.6615
"1830","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.3.CHL/PHEO.1",7.42
"1840","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.4.CHL/PHEO.1",6.589875
"1851","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.5.CHL/PHEO.1",4.57775
"1861","D10","ARIK",2019-03-19,"ARIK.20190319.EPIPHYTON.5.REP2.CHL/PHEO.2",4.527375
