"","domainID","siteID","collectDate","sampleID","chlorophyllMicrogramsPerLiter"
"6985","D03","BARC",2017-11-09,"BARC.20171109.PHYTOPLANKTON.3",1.46
"7012","D03","BARC",2017-11-09,"BARC.20171109.PHYTOPLANKTON.2",1.84
"7024","D03","BARC",2017-11-09,"BARC.20171109.PHYTOPLANKTON.1",0.83
"7052","D03","BARC",2018-02-21,"BARC.20180221.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",1.33
"7056","D03","BARC",2018-02-21,"BARC.20180221.PHYTOPLANKTON.2.CHL/PHEO.1",1.18
"7059","D03","BARC",2018-02-21,"BARC.20180221.PHYTOPLANKTON.1.CHL/PHEO.1",1.33
"7088","D03","BARC",2018-02-21,"BARC.20180221.PHYTOPLANKTON.3.CHL/PHEO.1",1.09
"7115","D03","BARC",2018-07-16,"BARC.20180716.PHYTOPLANKTON.3.CHL/PHEO.1",2.16
"7157","D03","BARC",2018-07-16,"BARC.20180716.PHYTOPLANKTON.1.CHL/PHEO.1",3.4
"7170","D03","BARC",2018-07-16,"BARC.20180716.PHYTOPLANKTON.2.CHL/PHEO.1",1.81
"7172","D03","BARC",2018-07-16,"BARC.20180716.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",3.22
"7189","D03","BARC",2018-11-12,"BARC.20181112.PHYTOPLANKTON.1.CHL/PHEO.1",2.5
"7233","D03","BARC",2018-11-12,"BARC.20181112.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",2.48
"7252","D03","BARC",2018-11-12,"BARC.20181112.PHYTOPLANKTON.3.CHL/PHEO.1",1.71
"7253","D03","BARC",2018-11-12,"BARC.20181112.PHYTOPLANKTON.2.CHL/PHEO.1",2.29
"7284","D03","BARC",2019-02-20,"BARC.20190220.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.19
"7293","D03","BARC",2019-02-20,"BARC.20190220.PHYTOPLANKTON.2.CHL/PHEO.1",1.26
"7302","D03","BARC",2019-02-20,"BARC.20190220.PHYTOPLANKTON.3.CHL/PHEO.1",1.19
"7306","D03","BARC",2019-02-20,"BARC.20190220.PHYTOPLANKTON.1.CHL/PHEO.1",1.23
"7349","D03","BARC",2019-07-16,"BARC.20190716.PHYTOPLANKTON.2.CHL/PHEO.1",1.38
"7366","D03","BARC",2019-07-16,"BARC.20190716.PHYTOPLANKTON.3.CHL/PHEO.1",1.73
"7376","D03","BARC",2019-07-16,"BARC.20190716.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.29
"7417","D03","BARC",2019-07-16,"BARC.20190716.PHYTOPLANKTON.1.CHL/PHEO.1",1.39
"7441","D03","BARC",2019-11-12,"BARC.20191112.PHYTOPLANKTON.3.CHL/PHEO.1",10.07
"7455","D03","BARC",2019-11-12,"BARC.20191112.PHYTOPLANKTON.1.CHL/PHEO.1",1.58
"7479","D03","BARC",2019-11-12,"BARC.20191112.PHYTOPLANKTON.2.CHL/PHEO.1",1.74
"7485","D03","BARC",2019-11-12,"BARC.20191112.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.81
"7564","D03","BARC",2020-07-14,"BARC.20200714.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.72
"7589","D03","BARC",2020-07-14,"BARC.20200714.PHYTOPLANKTON.2.CHL/PHEO.1",1.68
"7638","D03","BARC",2020-07-14,"BARC.20200714.PHYTOPLANKTON.1.CHL/PHEO.1",1.15
"7646","D03","BARC",2020-07-14,"BARC.20200714.PHYTOPLANKTON.3.CHL/PHEO.1",2.15
"7681","D03","BARC",2020-11-02,"BARC.20201102.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",2.68
"7709","D03","BARC",2020-11-02,"BARC.20201102.PHYTOPLANKTON.3.CHL/PHEO.1",2.37
"7714","D03","BARC",2020-11-02,"BARC.20201102.PHYTOPLANKTON.1.CHL/PHEO.1",2.34
"7736","D03","BARC",2020-11-02,"BARC.20201102.PHYTOPLANKTON.2.CHL/PHEO.1",1.86
"7787","D03","BARC",2021-02-24,"BARC.20210224.PHYTOPLANKTON.3.CHL/PHEO.1",0.41
"7805","D03","BARC",2021-02-24,"BARC.20210224.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.21
"7823","D03","BARC",2021-02-24,"BARC.20210224.PHYTOPLANKTON.2.CHL/PHEO.1",0.32
"7837","D03","BARC",2021-02-24,"BARC.20210224.PHYTOPLANKTON.1.CHL/PHEO.1",1.14
"7875","D03","BARC",2021-07-15,"BARC.20210715.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",0.81
"7883","D03","BARC",2021-07-15,"BARC.20210715.PHYTOPLANKTON.2.CHL/PHEO.1",0.87
"7884","D03","BARC",2021-07-15,"BARC.20210715.PHYTOPLANKTON.1.CHL/PHEO.1",0.92
"7934","D03","BARC",2021-07-15,"BARC.20210715.PHYTOPLANKTON.3.CHL/PHEO.1",1.24
"7949","D03","BARC",2021-11-09,"BARC.20211109.PHYTOPLANKTON.1.CHL/PHEO.1",2.26
"7962","D03","BARC",2021-11-09,"BARC.20211109.PHYTOPLANKTON.3.CHL/PHEO.1",3.54
"8003","D03","BARC",2021-11-09,"BARC.20211109.PHYTOPLANKTON.2.CHL/PHEO.1",2.45
"8103","D03","BARC",2022-07-11,"BARC.20220711.PHYTOPLANKTON.3.CHL/PHEO.1",1.41
"8121","D03","BARC",2022-07-11,"BARC.20220711.PHYTOPLANKTON.1.CHL/PHEO.1",0.89
"8146","D03","BARC",2022-07-11,"BARC.20220711.PHYTOPLANKTON.2.CHL/PHEO.1",0.96
"8209","D03","BARC",2022-11-01,"BARC.20221101.PHYTOPLANKTON.3.CHL/PHEO.1",1.81
"8239","D03","BARC",2022-11-01,"BARC.20221101.PHYTOPLANKTON.2.CHL/PHEO.1",1.54
"8267","D03","BARC",2022-11-01,"BARC.20221101.PHYTOPLANKTON.1.CHL/PHEO.1",1.41
"8271","D03","BARC",2023-02-15,"BARC.20230215.PHYTOPLANKTON.3.CHL/PHEO.1",0.9
"8286","D03","BARC",2023-02-15,"BARC.20230215.PHYTOPLANKTON.1.CHL/PHEO.1",1.51
"8348","D03","BARC",2023-02-15,"BARC.20230215.PHYTOPLANKTON.2.CHL/PHEO.1",0.89
"8370","D03","BARC",2023-07-12,"BARC.20230712.PHYTOPLANKTON.1.CHL/PHEO.1",10.79
"8383","D03","BARC",2023-07-12,"BARC.20230712.PHYTOPLANKTON.3.CHL/PHEO.1",5.57
"8411","D03","BARC",2023-07-12,"BARC.20230712.PHYTOPLANKTON.2.CHL/PHEO.1",9.66
"8527","D03","FLNT",2017-10-18,"FLNT.20171018.PHYTOPLANKTON.3",3.21
"8540","D03","FLNT",2017-10-18,"FLNT.20171018.PHYTOPLANKTON.2",2.91
"8541","D03","FLNT",2017-10-18,"FLNT.20171018.PHYTOPLANKTON.1",2.76
"8596","D03","FLNT",2018-07-24,"FLNT.20180724.PHYTOPLANKTON.2.CHL/PHEO.1",2.19
"8618","D03","FLNT",2018-07-24,"FLNT.20180724.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",4.18
"8622","D03","FLNT",2018-07-24,"FLNT.20180724.PHYTOPLANKTON.3.CHL/PHEO.1",2.03
"8633","D03","FLNT",2018-07-24,"FLNT.20180724.PHYTOPLANKTON.1.CHL/PHEO.1",3.11
"8656","D03","FLNT",2018-10-25,"FLNT.20181025.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",4.1
"8683","D03","FLNT",2018-10-25,"FLNT.20181025.PHYTOPLANKTON.1.CHL/PHEO.1",3.11
"8686","D03","FLNT",2018-10-25,"FLNT.20181025.PHYTOPLANKTON.2.CHL/PHEO.1",2.23
"8692","D03","FLNT",2018-10-25,"FLNT.20181025.PHYTOPLANKTON.3.CHL/PHEO.1",4.27
"8722","D03","FLNT",2019-03-13,"FLNT.20190313.PHYTOPLANKTON.2.CHL/PHEO.1",1.03
"8738","D03","FLNT",2019-03-13,"FLNT.20190313.PHYTOPLANKTON.3.CHL/PHEO.1",1.07
"8746","D03","FLNT",2019-03-13,"FLNT.20190313.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.03
"8760","D03","FLNT",2019-03-13,"FLNT.20190313.PHYTOPLANKTON.1.CHL/PHEO.1",1.01
"8803","D03","FLNT",2019-07-23,"FLNT.20190723.PHYTOPLANKTON.3.CHL/PHEO.1",2.89
"8810","D03","FLNT",2019-07-23,"FLNT.20190723.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",2.62
"8814","D03","FLNT",2019-07-23,"FLNT.20190723.PHYTOPLANKTON.1.CHL/PHEO.1",2.58
"8824","D03","FLNT",2019-07-23,"FLNT.20190723.PHYTOPLANKTON.2.CHL/PHEO.1",2.79
"8853","D03","FLNT",2019-10-15,"FLNT.20191015.PHYTOPLANKTON.1.CHL/PHEO.1",1.53
"8868","D03","FLNT",2019-10-15,"FLNT.20191015.PHYTOPLANKTON.3.CHL/PHEO.1",1.73
"8882","D03","FLNT",2019-10-15,"FLNT.20191015.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.6
"8911","D03","FLNT",2019-10-15,"FLNT.20191015.PHYTOPLANKTON.2.CHL/PHEO.1",1.67
"8924","D03","FLNT",2020-06-08,"FLNT.20200608.PHYTOPLANKTON.1.CHL/PHEO.1",0.62
"8946","D03","FLNT",2020-06-08,"FLNT.20200608.PHYTOPLANKTON.2.CHL/PHEO.1",0.24
"8959","D03","FLNT",2020-06-08,"FLNT.20200608.PHYTOPLANKTON.3.CHL/PHEO.1",0.28
"8966","D03","FLNT",2020-06-08,"FLNT.20200608.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.53
"9001","D03","FLNT",2020-09-15,"FLNT.20200915.PHYTOPLANKTON.3.CHL/PHEO.1",1.95
"9017","D03","FLNT",2020-09-15,"FLNT.20200915.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",2.03
"9037","D03","FLNT",2020-09-15,"FLNT.20200915.PHYTOPLANKTON.2.CHL/PHEO.1",1.97
