uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"66e80dac-0840-456d-bc5c-96c15663c8aa","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"CYCSP","Y","Cyclopoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,,,,"sp.",,,0.225,0.250,0.238,,2,"coarse",0.500,40,160,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
"89b4a849-1718-48c9-bdf7-6849435e2672","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"ASCOVA","Y","Ascomorpha ovalis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Gastropodidae",,"Ascomorpha","ovalis",,,0.100,0.100,0.100,,2,"coarse",6.000,20,7,"N","condition OK","N","59181","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"a19e9272-0855-4305-a859-759e401eb694","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"CALSP1","Y","Calanoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,,,,"sp.",,,0.375,0.800,0.508,,6,"coarse",6.000,20,20,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"0d402dad-9d26-43de-9306-b4e847e13faf","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"MONLUN","Y","Monostyla lunaris",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Lecanidae",,"Monostyla","lunaris",,,0.075,0.125,0.100,,13,"coarse",6.000,20,43,"N","condition OK","N","58753","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"798bfb16-5d65-4ab7-8be7-2b1756b27614","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"PLOSP1","Y","Ploesoma sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Synchaetidae",,"Ploesoma","sp.",,,0.100,0.100,0.100,,1,"coarse",0.500,40,80,"N","other (specified in remarks)","N","59282","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25 ;fragments",,"legacyData"
"d2abb5e4-ea19-4ee2-8380-af265c1d85d2","D03","BARC","BARC.AOS.littoral2","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.3",,,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,,0.100,0.100,0.100,,15,"coarse",6.000,20,50,"N","condition OK","N","58381","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 30",,"legacyData"
"973e8fab-73e6-4fca-b44e-e6c5914bab84","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"CHYSPH","Y","Chydorus sphaericus",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sphaericus",,,0.300,0.300,0.300,,1,"coarse",9.000,20,2,"N","condition OK","N","83993","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 45",,"legacyData"
"4232e389-dc46-4f4d-969d-5a43bc4439ad","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"SKIMIS","Y","Skistodiaptomus mississippiensis",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Skistodiaptomus","mississippiensis",,,0.850,0.925,0.888,,8,"coarse",0.500,40,640,"N","condition OK","N","666977","ITIS",,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
"6040036d-ef9e-4364-bcb4-8b19f64e0b05","D03","BARC","BARC.AOS.littoral1","2016-02-19T17:00Z","2017-11-09","BARC.20160219.SCHINDLER.2",,,,"DIASP10","Y","Diaphanosoma sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Sididae",,"Diaphanosoma","sp.",,,0.425,0.650,0.538,,2,"coarse",9.000,20,4,"N","condition OK","N","83837","ITIS",,"Pennak 1989","N","EcoAnalysts Inc.",,"K. Schnake","Immature;subsamplePercent = 45",,"legacyData"
"9155ae6f-e7a1-418f-a42a-d4dc94d3dc33","D03","BARC","BARC.AOS.buoy.c0","2016-02-19T17:00Z","2017-11-09","BARC.20160219.TOW.1",,,,"CALSP1","Y","Calanoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,,,,"sp.",,,0.350,0.825,0.522,,36,"coarse",0.500,40,2880,"N","condition OK","N",,,,"Dodson et al. 2010","N","EcoAnalysts Inc.",,"K. Schnake","subsamplePercent = 1.25",,"legacyData"
