uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"45c4caa0-4f11-4762-b409-7b1955616f94","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"DAPAMB","Y","Daphnia ambigua",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","ambigua",,"N",0.450,1.080,0.710,,87,"coarse",4.000,20,435,"N","condition OK","Y","83888","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"b09abf86-f43f-4e1f-b4a3-e7806b3b812e","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"CONUNI","Y","Conochilus unicornis",,"species","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Conochilidae",,"Conochilus","unicornis",,"N",0.200,0.200,0.200,0.080,22,"fine",7.000,20,63,"N","condition OK","Y","59419","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake",,,
"c9007b5e-5381-4eec-b15a-931f4d32e59d","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"DISHAM","Y","Disparalona hamata",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Disparalona","hamata",,"N",0.250,0.350,0.300,,15,"coarse",7.000,20,43,"N","condition OK","Y","684678",,,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"e38926a2-7df2-4cab-804f-e70abec8a9da","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"ROTSP","Y","Rotifera sp.",,"phylum","Rotifera",,,,,,,,,,,,"sp.",,"N",0.130,0.130,0.130,,1,"fine",7.000,20,3,"N","condition OK","Y","58239","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake",,,
"118de8fd-f8b7-4a28-9e54-ae776e9f4ec8","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,,,"DAPAMB","Y","Daphnia ambigua",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","ambigua",,"N",0.500,1.050,0.700,,69,"coarse",2.000,20,690,"N","condition OK","Y","83888","ITIS",,"Dodson et al 2010","Y","EcoAnalysts Inc.",,"M. Hill",,,
"f8cb26fb-c9c3-4458-9a71-6e4385157996","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"DIASP10","Y","Diaphanosoma sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Sididae",,"Diaphanosoma","sp.",,"N",0.380,0.580,0.450,,26,"coarse",7.000,20,74,"N","condition OK","Y","83837","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"719af7a7-3cc3-480e-9843-6f704904f5cf","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"ALOSP2","Y","Alona sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Alona","sp.",,"N",0.230,0.450,0.330,,10,"coarse",7.000,20,29,"N","condition OK","Y","83974","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"3ab3432e-5747-45db-b11e-001b39be978b","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"KERSER","Y","Keratella serrulata",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","serrulata",,"N",0.150,0.150,0.150,,1,"fine",7.000,20,3,"N","condition OK","Y","58384","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake",,,
"dc4a34f9-2bf6-482f-9a3f-6210402c661d","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"DAPAMB","Y","Daphnia ambigua",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","ambigua",,"N",0.500,1.030,0.690,,26,"coarse",7.000,20,74,"N","condition OK","Y","83888","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"34e6503f-5a23-496c-b4d9-c9d5ac5b1ca7","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,,,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,"sp.",,"N",0.150,0.150,0.150,,1,"coarse",2.000,20,10,"N","condition OK","Y","84195","ITIS",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.",,"M. Hill",,,
"cf5da0b2-5dbd-41c3-a28b-1580d58a40da","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"LEPSP32","Y","Lepadella sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Lepadellidae",,"Lepadella","sp.",,"N",0.100,0.100,0.100,,1,"fine",7.000,20,3,"N","condition OK","Y","58488","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake",,,
"ab22ce21-9dd9-4f2a-8b47-1423d4b5878f","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"CHYSPH","Y","Chydorus sphaericus",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sphaericus",,"N",0.250,0.250,0.250,,2,"coarse",4.000,20,10,"N","condition OK","Y","83993","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"921deaef-e26f-466b-8c91-11c7651eaa36","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.130,0.250,0.190,,75,"coarse",2.000,20,750,"N","condition OK","Y",,,,"Reid and Williamson, 2010","Y","EcoAnalysts Inc.",,"M. Hill",,,
"3fb84ed1-0fe4-48de-951d-66dd5f1f3546","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"BDESP","Y","Bdelloidea sp.",,"subclass","Rotifera",,"Bdelloidea","Bdelloidea",,,,,,,,,"sp.",,"N",,,,,3,"fine",7.000,20,9,"N","other (specified in remarks)","Y","58246","ITIS",,"Stemberger 1979","N","EcoAnalysts Inc.",,"K. Schnake","not measured",,
"a5ff5d8d-b68c-44ab-b135-9e68a0372f1a","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"TROPRA1","Y","Tropocyclops prasinus mexicanus",,"subspecies","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Tropocyclops","prasinus mexicanus","mexicanus","N",0.550,0.550,0.550,,1,"coarse",7.000,20,3,"N","condition OK","Y","88745","ITIS",,"Reid and Williamson, 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"e2c7e2e8-4a1b-4aeb-8fe2-65d932381d13","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"DIASP10","Y","Diaphanosoma sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Sididae",,"Diaphanosoma","sp.",,"N",0.350,0.900,0.540,,56,"coarse",4.000,20,280,"N","condition OK","Y","83837","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"fd0bf5d0-52fe-40c0-8819-0a69adb604d5","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"MESEDA","Y","Mesocyclops edax",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Mesocyclops","edax",,"N",1.000,1.330,1.160,,5,"coarse",4.000,20,25,"N","condition OK","Y","88692","ITIS",,"Reid and Williamson, 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"ee41d29c-f78d-4420-b51d-6f64e2e8c49a","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"CHYSP2","Y","Chydorus sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sp.",,"N",0.250,0.280,0.260,,3,"coarse",4.000,20,15,"N","damaged, affecting taxonomy","Y","83992","ITIS",,"Dodson et al 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"cc587a15-b3c1-49e6-9e17-2c3db2755b84","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"CALSP1","Y","Calanoida sp.","Calanoida - copepodites","order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,,,,"sp.",,"N",0.780,0.780,0.780,,1,"coarse",4.000,20,5,"N","condition OK","Y",,,,"Reid and Williamson, 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"2195b13d-f143-4752-bc63-d2b484719488","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,"SUGG.20180212.SCHINDLER-PATALAS.1_DISPARALONA HAMATA",,"DISHAM","Y","Disparalona hamata",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Disparalona","hamata",,"N",0.300,0.300,0.300,,1,"coarse",2.000,20,10,"N","condition OK","Y","684678",,,"Dodson et al 2010","Y","EcoAnalysts Inc.",,"M. Hill",,,
"ad405e64-7bb2-491f-8dc2-d6f57bf49071","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,,,"CONUNI","Y","Conochilus unicornis",,"species","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Conochilidae",,"Conochilus","unicornis",,"N",0.100,0.150,0.120,0.080,22,"fine",2.000,20,220,"N","condition OK","Y","59419","ITIS",,"Stemberger 1979","Y","EcoAnalysts Inc.",,"M. Hill",,,
"c033a84d-5461-42bc-8f30-1920956c7867","D03","SUGG","SUGG.AOS.littoral1","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.2",,,,"MESEDA","Y","Mesocyclops edax",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Mesocyclops","edax",,"N",0.780,0.780,0.780,,1,"coarse",7.000,20,3,"N","condition OK","Y","88692","ITIS",,"Reid and Williamson, 2010","N","EcoAnalysts Inc.",,"K. Schnake",,,
"3357647e-6595-4c56-9ca0-5d20244d9bc9","D03","SUGG","SUGG.AOS.buoy.c0","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.1",,,,"CHYSPH","Y","Chydorus sphaericus",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Chydorus","sphaericus",,"N",0.180,0.200,0.180,,3,"coarse",2.000,20,30,"N","condition OK","Y","83993","ITIS",,"Dodson et al 2010","Y","EcoAnalysts Inc.",,"M. Hill",,,
"76fe79ae-2f3f-4edc-8387-16844b56a6ce","D03","SUGG","SUGG.AOS.littoral2","2018-02-12T14:52Z","2018-04-23","SUGG.20180212.SCHINDLER-PATALAS.3",,,,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,"sp.",,"N",0.450,0.450,0.450,,1,"coarse",4.000,20,5,"N","condition OK","Y","84195","ITIS",,"Thorp and Covich 2001","N","EcoAnalysts Inc.",,"K. Schnake",,,
