uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"c5f69ddb-77e5-4bf3-9c2e-1065d2949291","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"MESEDA","Y","Mesocyclops edax",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Mesocyclops","edax",,"N",0.720,1.400,0.938,,9,"coarse",31.250,1000,288,"N","condition OK","N","88692","ITIS",,"Yeatman, 1959","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"9e27696b-6e80-4acb-8f0c-118ea39c0560","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"LECLUN","Y","Lecane luna",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Lecanidae",,"Lecane","luna",,"N",0.100,0.120,0.100,0.100,1,"fine",2.000,10,5,"N","condition OK","N","58636","ITIS",,"Stemberger, 1979","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"df2d2077-37fd-4ad0-91f7-5aa81636ec44","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"EUBHAG","Y","Eubosmina hagmanni",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Bosminidae",,"Eubosmina","hagmanni",,"N",0.200,0.240,0.227,,3,"coarse",150.000,150,3,"N","condition OK","N","83942","ITIS",,"De Melo and Hebert, 1994","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"e72e39be-61da-437e-9890-02bc84ce8f2b","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"TRITET","Y","Trichotria tetractis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Trichotriidae",,"Trichotria","tetractis",,"N",0.200,0.200,0.200,0.100,1,"fine",2.000,25,13,"N","condition OK","N","58565","ITIS",,"Stemberger, 1979","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"62e25ff3-a311-4940-8612-c342860964d0","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"ACRHAR","Y","Acroperus harpae",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Acroperus","harpae",,"N",0.360,0.480,0.420,,2,"coarse",150.000,150,2,"N","condition OK","N","84023","ITIS",,"Brooks, 1959","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"8a870139-712b-4b6a-b416-380783e4af0e","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"NEOSP68","Y","Neocopepoda sp.","Nauplius","infraclass","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda",,,,,,,,"sp.",,"Y",0.160,0.320,0.262,,165,"fine",2.000,25,2063,"Y","condition OK","N",,"ITIS",,"Williamson, 1991","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"e915770f-3a6d-4b44-861f-1df0f5b972ad","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"LEPMIN","Y","Leptodiaptomus minutus",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","minutus",,"N",0.600,1.120,0.848,,233,"coarse",31.250,1000,7456,"N","condition OK","N","85841","ITIS",,"Pennak, 1953","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"3edaf908-e1e4-461f-91e4-4c88cfa6ec16","D05","CRAM","CRAM.AOS.littoral2","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.1",,,,"DISACU","Y","Disparalona acutirostris",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Chydoridae",,"Disparalona","acutirostris",,"N",0.280,0.300,0.300,,1,"coarse",150.000,150,1,"N","condition OK","N","84103","ITIS",,"Thorp and Covich, 2016","N","GEI Consultants Inc.","Water's Edge Scientific","DLN","Removed for ID",,"legacyData"
"2ad54958-d118-4547-b138-e14253531b2b","D05","CRAM","CRAM.AOS.buoy.c0","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.TOWNET.3",,,,"KERTES","Y","Keratella testudo",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","testudo",,"N",,,,0.075,54,"fine",2.000,1000,27000,"N","damaged, affecting measurement","N","58389","ITIS",,"Stemberger, 1979","Y","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
"06a5f20b-ee43-4a80-a8a8-de8b0fdf4f82","D05","CRAM","CRAM.AOS.littoral1","2016-04-29T17:00Z","2016-09-29","CRAM.20160429.SCHINDLERPATALAS.2",,,,"LEPMIN","Y","Leptodiaptomus minutus",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","minutus",,"N",1.000,1.000,1.000,,1,"coarse",150.000,150,1,"N","condition OK","N","85841","ITIS",,"Pennak, 1953","N","GEI Consultants Inc.","Water's Edge Scientific","DLN",,,"legacyData"
