uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"556f3cb3-f676-4903-aaef-c206e191888e","D05","LIRO","LIRO.AOS.buoy.c1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.TOWNET.1","A00000141777",,,"POLSP20","Y","Polyarthra sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Synchaetidae",,"Polyarthra","sp.",,"N",0.090,0.090,0.090,0.090,18,"fine",1.000,50,900,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"5f021b37-bf34-480e-ad9b-b7ec9953ab55","D05","LIRO","LIRO.AOS.littoral1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.2","A00000141776",,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",0.100,0.100,0.100,0.050,26,"fine",2.000,10,130,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"b3082f44-4971-4379-9f5d-79ccf487f5e0","D05","LIRO","LIRO.AOS.buoy.c1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.TOWNET.1","A00000141777",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.150,0.150,0.150,0.050,22,"fine",1.000,50,1100,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"6eb04ff5-ba12-4a63-b3f8-d2fafe303fc9","D05","LIRO","LIRO.AOS.littoral1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.2","A00000141776",,,"POLSP20","Y","Polyarthra sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Synchaetidae",,"Polyarthra","sp.",,"N",0.100,0.100,0.100,0.100,13,"fine",2.000,10,65,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"92da6570-28d8-4ab8-ad21-3fa0049ae88d","D05","LIRO","LIRO.AOS.buoy.c1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.TOWNET.1","A00000141777",,,"POMSP5","Y","Pompholyx sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Testudinellidae",,"Pompholyx","sp.",,"N",0.080,0.120,0.100,0.100,21,"fine",1.000,50,1050,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"61a8b898-47d6-4d73-a7d1-d59bfe1c59fc","D05","LIRO","LIRO.AOS.buoy.c1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.TOWNET.1","A00000141777",,,"HOLGIB","Y","Holopedium gibberum",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Holopediidae",,"Holopedium","gibberum",,"N",1.200,1.500,1.350,,12,"coarse",1.000,50,600,"N","condition OK","Y",,,,"Haney, J.F. et al.","N","Rhithron Associates, Inc.",,"B. Moore",,,
"1a2d0734-686f-4c4b-84c9-741b0d5183c7","D05","LIRO","LIRO.AOS.littoral2","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.3","A00000141775",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.150,0.150,0.150,0.050,82,"fine",5.000,5,82,"N","other (specified in remarks)","Y",,,,"Stemberger, 1979; Pennak, 1989","Y","Rhithron Associates, Inc.",,"B. Moore","PTD outside expected range; PDE outside expected range",,
"fd620324-af0f-46c1-bea8-f8cc060433b3","D05","LIRO","LIRO.AOS.littoral2","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.3","A00000141775",,,"ROTSP","Y","Rotifera sp.",,"phylum","Rotifera",,,,,,,,,,,,"sp.",,"N",0.120,0.120,0.120,0.080,2,"fine",5.000,5,2,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","Y","Rhithron Associates, Inc.",,"B. Moore","Gastropidae/synchaeta/testudinella; PTD outside expected range; PDE outside expected range",,
"a52c44d8-eb1b-4aa9-8b6f-0f1f2db454b2","D05","LIRO","LIRO.AOS.littoral1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.2","A00000141776",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.100,0.200,0.150,,46,"coarse",2.000,10,230,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"1b163961-94fa-4949-a28e-2a5ec301eb5a","D05","LIRO","LIRO.AOS.littoral1","2022-05-16T14:20Z","2022-11-21","LIRO.20220516.SCHINDLER.2","A00000141776",,,"KERTAU","Y","Keratella taurocephala",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","taurocephala",,"N",0.130,0.130,0.130,0.500,43,"fine",2.000,10,215,"N","condition OK","Y",,,,"Haney, J.F. et al.","N","Rhithron Associates, Inc.",,"B. Moore",,,
