uid,domainID,siteID,namedLocation,collectDate,sortDate,sampleID,sampleCode,mixedZooVialID,mixedZooVialCode,testProtocolVersion,subsampleType,qcEnumerationDifference,qcTaxonomicDifference,laboratoryName,sortedBy,benchRemarks,dataQF
"d2f5976f-d8e2-4e7e-a49c-06201b0164ca","D09","PRLA","PRLA.AOS.buoy.c0","2014-07-09T17:00Z",,"PRLA.20140709.TOWNET.DEEPEST1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"4630a73c-41c2-44db-bf78-ba1329d2ae95","D09","PRLA","PRLA.AOS.littoral1","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.INLET2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"337c54a0-f2e1-4f89-bf39-e51d6723d7e8","D09","PRLA","PRLA.AOS.littoral1","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.INLET2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"47201133-9caa-4597-b1e6-e9368f86fe37","D09","PRLA","PRLA.AOS.littoral1","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.INLET1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"26bf7009-48bf-46e3-be58-8eca899af162","D09","PRLA","PRLA.AOS.littoral2","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.OUTLET1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"c8fc988e-3ae6-4a90-8be6-ea1381413de0","D09","PRLA","PRLA.AOS.littoral1","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.INLET1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"eb1d35e2-c28c-4877-8207-2602689066b3","D09","PRLA","PRLA.AOS.littoral2","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.OUTLET2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"8ad1abde-818d-409c-91dd-dc24899929af","D09","PRLA","PRLA.AOS.buoy.c0","2014-07-09T17:00Z",,"PRLA.20140709.TOWNET.DEEPEST2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"c16eac26-f85c-4c31-8622-bb04b5e6bc96","D09","PRLA","PRLA.AOS.littoral2","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.OUTLET2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"a15d9a3d-25a6-4e51-97fc-e88bd0491762","D09","PRLA","PRLA.AOS.buoy.c0","2014-07-09T17:00Z",,"PRLA.20140709.TOWNET.DEEPEST2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"bb74d434-d4d5-4ab6-b289-e20c21a59c3c","D09","PRLA","PRLA.AOS.littoral2","2014-07-09T17:00Z",,"PRLA.20140709.SCHINDLER.OUTLET1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"712e4ee8-6f27-4863-8216-3471f2e5d0d1","D09","PRLA","PRLA.AOS.buoy.c0","2014-07-09T17:00Z",,"PRLA.20140709.TOWNET.DEEPEST1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
