uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"25452084-82aa-4044-a2ff-08083a7b20d5","D09","PRLA","PRLA.AOS.littoral2","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.2","A00000244968",,,"GASSP6","Y","Gastropus sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Gastropodidae",,"Gastropus","sp.",,"N",0.150,0.150,0.150,0.080,1,"fine",2.000,50,25,"N","condition OK","Y",,,,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"81881fdd-b66e-4d01-8141-893936786ad9","D09","PRLA","PRLA.AOS.littoral1","2022-04-27T16:03Z","2023-02-15","PRLA.20220427.SCHINDLER.1","A00000244967",,,"KERTES","Y","Keratella testudo",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","testudo",,"N",0.130,0.130,0.130,0.050,110,"fine",1.000,40,4400,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"7e43d0b8-d26f-4a0a-a299-94fe4b876f10","D09","PRLA","PRLA.AOS.littoral2","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.2","A00000244968",,,"ASPSP4","Y","Asplanchna sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Asplanchnidae",,"Asplanchna","sp.",,"N",0.180,0.180,0.180,0.100,3,"fine",2.000,50,75,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"2a473833-5da1-434c-8bdf-04ee5b701b5a","D09","PRLA","PRLA.AOS.buoy.c0","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.3","A00000244969",,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",0.100,0.100,0.100,0.050,16,"fine",1.000,40,640,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"5f094183-a3d7-40d2-a892-2b8c22defe6d","D09","PRLA","PRLA.AOS.littoral1","2022-04-27T16:03Z","2023-02-15","PRLA.20220427.SCHINDLER.1","A00000244967",,,"LEPSIC","Y","Leptodiaptomus siciloides",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","siciloides",,"N",1.200,1.200,1.200,,1,"coarse",1.000,40,40,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"8f7be60a-5b44-496b-ab6d-47bf6636b29e","D09","PRLA","PRLA.AOS.littoral1","2022-04-27T16:03Z","2023-02-15","PRLA.20220427.SCHINDLER.1","A00000244967","BRACHIONUS_ANGULARIS_MALE_200X_BA22NEOZ07001",,"BRAANG","Y","Brachionus angularis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Brachionus","angularis",,"N",0.130,0.130,0.130,0.100,281,"fine",1.000,40,11240,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"e31627bb-cf21-436a-ba60-3c8829760593","D09","PRLA","PRLA.AOS.littoral2","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.2","A00000244968",,,"KERTES","Y","Keratella testudo",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","testudo",,"N",0.120,0.120,0.120,0.080,172,"fine",2.000,50,4300,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
"7185aaeb-b69d-400c-bb8e-85de05a39d8f","D09","PRLA","PRLA.AOS.buoy.c0","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.3","A00000244969",,,"LEPSP31","Y","Leptodiaptomus sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","sp.",,"N",1.300,1.300,1.300,,3,"coarse",1.000,40,120,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore","female",,
"7340e0f7-22e1-461a-a83f-d2de7c6ab3a5","D09","PRLA","PRLA.AOS.littoral1","2022-04-27T16:03Z","2023-02-15","PRLA.20220427.SCHINDLER.1","A00000244967",,,"POLSP20","Y","Polyarthra sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Synchaetidae",,"Polyarthra","sp.",,"N",0.100,0.100,0.100,0.100,95,"fine",1.000,40,3800,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Moore",,,
"4001b77d-cd75-4410-8317-1894433db518","D09","PRLA","PRLA.AOS.buoy.c0","2022-04-27T16:03Z","2023-02-20","PRLA.20220427.SCHINDLER.3","A00000244969",,,"KERTES","Y","Keratella testudo",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","testudo",,"N",0.120,0.120,0.120,0.080,87,"fine",1.000,40,3480,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Moore",,,
