uid,domainID,siteID,namedLocation,collectDate,sortDate,sampleID,sampleCode,mixedZooVialID,mixedZooVialCode,testProtocolVersion,subsampleType,qcEnumerationDifference,qcTaxonomicDifference,laboratoryName,sortedBy,benchRemarks,dataQF
"1eb1f28e-d6f0-4d4a-af40-2d235b215ab7","D09","PRPO","PRPO.AOS.buoy.c0","2014-07-08T17:00Z",,"PRPO.20140708.TOWNET.DEEPEST2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"0a8a5125-dae1-4a5a-9548-7ee442e9fc73","D09","PRPO","PRPO.AOS.buoy.c0","2014-07-08T17:00Z",,"PRPO.20140708.TOWNET.DEEPEST1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"8fd6074a-15db-49e0-9a84-55da55922d35","D09","PRPO","PRPO.AOS.littoral2","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.INLET2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"7d8a5456-9255-4c48-9364-bea31c797b46","D09","PRPO","PRPO.AOS.littoral2","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.INLET1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"6078e38e-3ca5-4ff3-bf67-273bdcd27bf3","D09","PRPO","PRPO.AOS.littoral1","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.OUTLET1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"8517160c-4466-4155-9dca-9a7355aeb460","D09","PRPO","PRPO.AOS.littoral1","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.OUTLET2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"c303bd19-d014-4528-ab14-2080ca794844","D09","PRPO","PRPO.AOS.littoral1","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.OUTLET2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"494ebe39-55cd-47a2-abc3-c8ee3d320cee","D09","PRPO","PRPO.AOS.buoy.c0","2014-07-08T17:00Z",,"PRPO.20140708.TOWNET.DEEPEST2",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"9b4b807e-09ab-46a0-9944-d9b51ec055e0","D09","PRPO","PRPO.AOS.buoy.c0","2014-07-08T17:00Z",,"PRPO.20140708.TOWNET.DEEPEST1",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"8d2ffd47-7e85-4dee-a640-206dd8bdec8e","D09","PRPO","PRPO.AOS.littoral2","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.INLET2",,,,"GEI_Zooplankton_Identification_Revision5","fine",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"67892ef4-0737-49f5-b678-c746c958607a","D09","PRPO","PRPO.AOS.littoral1","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.OUTLET1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
"ba9d7507-2e2e-44fb-a6b2-b96d985cd5fe","D09","PRPO","PRPO.AOS.littoral2","2014-07-08T17:00Z",,"PRPO.20140708.SCHINDLER.INLET1",,,,"GEI_Zooplankton_Identification_Revision5","coarse",,,"GEI Consultants Inc.","i4FMMVXM0sI=",,
