uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"cbd9b8a5-1370-448f-aefd-b8ee8d9b3959","D09","PRPO","PRPO.AOS.buoy.c0","2019-07-15T14:36Z","2019-09-09","PRPO.20190715.SCHINDLER.3","A00000084754",,,"CEPSP5","Y","Cephalodella sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Notommatidae",,"Cephalodella","sp.",,"N",0.175,0.175,0.175,0.105,2,"fine",6.000,530,177,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"a235347a-1c1f-4a0c-8aea-47d396f60fd4","D09","PRPO","PRPO.AOS.littoral1","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.1","A00000084752","CEPHALODELLA_HABITUS_100X_BA19NEOZ02004|CEPHALODELLA_TROPHI_400X_BA19NEOZ02004|CEPHALODELLA_200X_BA19NEOZ02004","||","CEPSP5","Y","Cephalodella sp.",,"genus","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Notommatidae",,"Cephalodella","sp.",,"N",0.215,0.232,0.224,0.126,5,"fine",2.000,50,125,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"97b85d2b-511b-4a92-8e46-fee74e445f8e","D09","PRPO","PRPO.AOS.littoral1","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.1","A00000084752",,,"DAPAMB","Y","Daphnia ambigua",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","ambigua",,"N",0.850,1.025,0.943,,38,"coarse",2.000,50,950,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"e4f765bc-9e81-4be2-abf8-5dae1258206c","D09","PRPO","PRPO.AOS.littoral1","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.1","A00000084752",,,"POMSUL","Y","Pompholyx sulcata",,"species","Rotifera",,"Monogonta","Monogononta",,"Gnesiotrocha","Flosculariaceae",,,"Testudinellidae",,"Pompholyx","sulcata",,"N",0.139,0.142,0.141,0.079,2,"fine",2.000,50,50,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"02158bb8-6e1f-4ba3-b0db-306d251f64e0","D09","PRPO","PRPO.AOS.buoy.c0","2019-07-15T14:36Z","2019-09-09","PRPO.20190715.SCHINDLER.3","A00000084754",,,"CYCSP","Y","Cyclopoida sp.",,"order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,,,,"sp.",,"N",0.498,0.755,0.627,,9,"coarse",6.000,530,795,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Copepodids",,
"c09b5128-a3f3-4144-98f5-67a5959b22ba","D09","PRPO","PRPO.AOS.buoy.c0","2019-07-15T14:36Z","2019-09-09","PRPO.20190715.SCHINDLER.3","A00000084754",,,"CALSP1","Y","Calanoida sp.",,"order","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,,,,"sp.",,"N",0.253,1.502,0.867,,31,"coarse",6.000,530,2738,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Females, abn.=copepodids",,
"fa6cec93-e9ea-43f2-bb8d-45723959945c","D09","PRPO","PRPO.AOS.littoral2","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.2","A00000084780",,,"DAPPUL1","Y","Daphnia pulex",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","pulex",,"N",0.985,2.015,1.568,,274,"coarse",6.000,425,19408,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Size varies",,
"6782d456-4ae8-4136-9337-757d07833a32","D09","PRPO","PRPO.AOS.littoral2","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.2","A00000084780",,,"CERDUB","Y","Ceriodaphnia dubia",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Ceriodaphnia","dubia",,"N",0.698,0.865,0.782,,3,"coarse",6.000,425,213,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"f9579905-406d-46f2-9baf-6b193bda04ca","D09","PRPO","PRPO.AOS.littoral2","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.2","A00000084780",,,"DAPAMB","Y","Daphnia ambigua",,"species","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","ambigua",,"N",0.852,1.022,0.943,,8,"coarse",6.000,425,567,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"4fb14474-1fc5-4a9d-af67-ee76eb00814e","D09","PRPO","PRPO.AOS.littoral1","2019-07-15T14:36Z","2019-09-06","PRPO.20190715.SCHINDLER.1","A00000084752","EUCYCLOPS ELEGANS_RAMI_200X_BA19ZEOZ02004|EUCYCLOPS ELEGANS_HABITUS_BA19ZEOZ02004|EUCYCLOPS ELEGANS_ANTENNAE_100X_BA19ZEOZ02004","||","EUCELE","Y","Eucyclops elegans",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Eucyclops","elegans",,"N",1.025,1.025,1.025,,2,"coarse",2.000,50,50,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
