uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooSubsampleVolume,estConcentratedSampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"cc03fa0d-caf3-4756-8cbf-fac33b49e8c1","D18","TOOK","TOOK.AOS.buoy.c1","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.TOWNET.1","A00000301809",,,"LEPSIC","Y","Leptodiaptomus siciloides",,"species","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,"Leptodiaptomus","siciloides",,"N",1.277,1.302,1.290,,5,"coarse",1.000,15,75,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","Y","Rhithron Associates, Inc.",,"B. Hayford",,,
"4cc813f8-1da7-4747-aaa2-ee1ed2fdb2f7","D18","TOOK","TOOK.AOS.littoral3","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.SCHINDLER.2","A00000301808",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.103,0.122,0.115,0.090,54,"fine",5.000,5,54,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"9d728946-0df7-4da9-b5b1-36e3fe300f20","D18","TOOK","TOOK.AOS.buoy.c1","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.TOWNET.1","A00000301809",,,"DAPSP1","Y","Daphnia sp.",,"genus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",,,"Diplostraca","Cladocera",,"Daphniidae",,"Daphnia","sp.",,"N",2.012,2.012,2.012,,1,"coarse",1.000,15,15,"N","other (specified in remarks)","Y",,,,"Thorp and Rogers, 2016","Y","Rhithron Associates, Inc.",,"B. Hayford","D. dubia or D. mendotae in D. longiremus group.",,
"d0ae0001-9b88-4d85-b091-a320ed219587","D18","TOOK","TOOK.AOS.buoy.c1","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.TOWNET.1","A00000301809",,,"DIASP","Y","Diaptomidae sp.",,"family","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,,"sp.",,"N",1.198,1.333,1.270,,63,"coarse",1.000,15,945,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","Y","Rhithron Associates, Inc.",,"B. Hayford","Females",,
"7d9a3f5f-9880-463d-8ad1-9b6f091a4aee","D18","TOOK","TOOK.AOS.buoy.c1","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.TOWNET.1","A00000301809",,,"CYCSP4","Y","Cyclops sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Cyclops","sp.",,"N",1.159,1.412,1.264,,17,"coarse",1.000,15,255,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","Y","Rhithron Associates, Inc.",,"B. Hayford",,,
"f3e8555d-fca3-41c0-9467-cbec58cfaaac","D18","TOOK","TOOK.AOS.littoral2","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.SCHINDLER.3","A00000301807",,,"KERCOC","Y","Keratella cochlearis",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Keratella","cochlearis",,"N",0.101,0.125,0.117,0.095,97,"fine",3.000,5,162,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"8b36dfaa-6096-407a-b3a6-70ebf068a8f6","D18","TOOK","TOOK.AOS.littoral3","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.SCHINDLER.2","A00000301808",,,"DIASP","Y","Diaptomidae sp.",,"family","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Gymnoplea","Calanoida",,,"Diaptomidae",,,"sp.",,"N",1.168,1.221,1.195,,2,"coarse",5.000,5,2,"N","other (specified in remarks)","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford","Females",,
"ecf104ba-f350-43c0-868b-4faa5c1b73db","D18","TOOK","TOOK.AOS.buoy.c1","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.TOWNET.1","A00000301809",,,"KELLON","Y","Kellicottia longispina",,"species","Rotifera",,"Monogonta","Monogononta",,"Pseudotrocha","Ploima",,,"Brachionidae",,"Kellicottia","longispina",,"N",0.112,0.188,0.142,0.098,53,"fine",1.000,15,795,"N","condition OK","Y",,,,"Stemberger, 1979; Pennak, 1989","Y","Rhithron Associates, Inc.",,"B. Hayford",,,
"8d8c3ddd-dff6-4d66-a705-4f18c07831db","D18","TOOK","TOOK.AOS.littoral3","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.SCHINDLER.2","A00000301808",,,"COPSP","Y","Copepoda sp.",,"subclass","Arthropoda","Crustacea","Maxillopoda","Copepoda",,,,,,,,,"sp.",,"Y",0.162,0.213,0.195,,29,"coarse",5.000,5,29,"N","condition OK","N",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
"7308f51e-10d9-4141-8eeb-e83218e16512","D18","TOOK","TOOK.AOS.littoral2","2020-09-04T17:39Z","2021-02-23","TOOK.20200904.SCHINDLER.3","A00000301807",,,"CYCSP4","Y","Cyclops sp.",,"genus","Arthropoda","Crustacea","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Cyclopoida",,,"Cyclopidae",,"Cyclops","sp.",,"N",0.998,0.998,0.998,,1,"coarse",3.000,5,2,"N","condition OK","Y",,,,"Thorp and Rogers, 2016","N","Rhithron Associates, Inc.",,"B. Hayford",,,
