siteID,n_years,chl_mean_annual_Discrete samples,chl_mean_annual_Sensor data,chl_median_annual_Discrete samples,chl_median_annual_Sensor data,chl_sd_annual_Discrete samples,chl_sd_annual_Sensor data,chl_min_annual_Discrete samples,chl_min_annual_Sensor data,chl_max_annual_Discrete samples,chl_max_annual_Sensor data,ratio_discrete_to_sensor
PRLA,8,75.05284722222223,NA,57.595,NA,55.31309590512909,NA,1.89,NA,209.85,NA,NA
PRPO,8,38.38742361111111,17.01741315162729,31.7425,11.8305991700542,18.392373787609763,8.277913982842193,4.2,0,162.08,182.98,2.2557731465455024
CRAM,8,10.041698232323233,NA,4.105,NA,10.682047438649228,NA,1.03,NA,161.59,NA,NA
LIRO,8,6.818923611111111,NA,3.33,NA,3.795987219298912,NA,1.41,NA,24.9,NA,NA
SUGG,10,3.5246815476190476,18.940478472968746,3.07,15.4189409722222,2.3942357227992788,8.081172137027995,-0.14,1.51,11.18,140.24,0.1860925294284071
TOOK,8,2.790208333333333,NA,2.1025,NA,1.835756069640578,NA,0.3,NA,8.18,NA,NA
BARC,10,2.485867424242424,2.1224217321462486,1.7225000000000001,2.0322889088245226,1.839150088365983,0.8627870350419188,0.32,0,10.86,58,1.1712410340468242
PRLA,7,NA,23.572169932499587,NA,15.9478298611111,NA,11.451553622203733,NA,0.33,NA,319.01,NA
LIRO,9,NA,3.6932499467853805,NA,2.929453101169295,NA,1.0486172200048325,NA,0.21,NA,99.38,NA
TOOK,6,NA,2.6490527200875995,NA,2.6040162316073827,NA,0.7273014739970353,NA,0.13,NA,13.18,NA
