siteID,year,month,n_samples,chl_mean,chl_sd,chl_min,chl_max
BARC,2018,2,4,1.2325,0.11842719282327013,1.09,1.33
BARC,2018,7,4,2.6475,0.7816808811785023,1.81,3.4
BARC,2019,2,4,1.2175,0.034034296427770255,1.19,1.26
BARC,2019,7,4,1.4475,0.19362764954072717,1.29,1.73
BARC,2020,7,4,1.6749999999999998,0.4095932942159413,1.15,2.15
BARC,2021,2,4,0.77,0.4699645376692444,0.32,1.21
BARC,2021,7,4,0.96,0.19200694431886223,0.81,1.24
BARC,2021,11,3,2.75,0.690724257573165,2.26,3.54
BARC,2022,7,3,1.0866666666666667,0.2821937868439582,0.89,1.41
BARC,2022,11,3,1.5866666666666667,0.20404247923737193,1.41,1.81
BARC,2023,2,3,1.1,0.3551056180912941,0.89,1.51
BARC,2024,2,1,0.67,NA,0.67,0.67
BARC,2024,7,2,10.665,0.27577164466275267,10.47,10.86
CRAM,2018,5,3,3.35,0.262106848441623,3.06,3.57
CRAM,2018,7,3,3.736666666666667,0.44523402086243763,3.3,4.19
CRAM,2019,5,4,1.8975,1.3182406204230444,1.03,3.86
CRAM,2019,7,3,2.716666666666667,0.30664855018951787,2.52,3.07
CRAM,2019,9,4,3.5025,0.4900595201945713,2.84,3.98
CRAM,2020,6,4,2.25,1.2227291877871678,1.54,4.08
CRAM,2020,7,4,1.94,0.9584362263604188,1.1,2.77
CRAM,2020,9,3,4.906666666666666,1.2413433583555091,3.48,5.74
CRAM,2021,4,3,2.9833333333333334,0.32347076117221696,2.61,3.18
CRAM,2021,7,3,2.0700000000000003,0.20074859899884728,1.84,2.21
CRAM,2021,9,3,10.5,7.48414323753895,4.08,18.72
CRAM,2022,5,3,13.243333333333334,2.169615941436026,11.16,15.49
CRAM,2022,7,3,3.64,1.3098473193468008,2.67,5.13
CRAM,2022,9,3,15.83,1.9147062437878046,14.54,18.03
CRAM,2023,5,3,12.153333333333332,2.4865705968931056,9.54,14.49
CRAM,2023,7,3,3.7600000000000002,0.44192759587968733,3.28,4.15
CRAM,2023,9,3,14.556666666666667,2.319532998974865,11.94,16.36
CRAM,2024,4,2,2.96,0.028284271247461926,2.94,2.98
CRAM,2024,7,1,13.25,NA,13.25,13.25
CRAM,2024,9,1,16.29,NA,16.29,16.29
LIRO,2018,5,3,3.6333333333333333,1.9429445008371529,2.14,5.83
LIRO,2018,7,3,1.9066666666666665,0.7587050371081855,1.41,2.78
LIRO,2019,5,3,5.24,3.2121488134891885,2.94,8.91
LIRO,2019,7,3,7.363333333333333,7.7483568150501,2.82,16.31
LIRO,2019,9,3,5.5,5.213626377100683,2.45,11.52
LIRO,2020,6,4,2.185,0.5082322303829225,1.84,2.94
LIRO,2020,7,4,7.137499999999999,7.103639325491312,3.38,17.79
LIRO,2020,9,4,7.3675,5.58415839675058,2.38,12.41
LIRO,2021,4,3,2.74,0.4371498598878878,2.39,3.23
LIRO,2021,7,3,1.8933333333333333,0.1305118130030125,1.77,2.03
LIRO,2021,9,3,5.026666666666666,5.042274618992239,1.84,10.84
LIRO,2022,5,3,3,1.3163586137523464,2.24,4.52
LIRO,2022,7,3,6.156666666666667,1.5350678595206575,4.4,7.24
LIRO,2022,9,3,12.976666666666667,3.045411849542411,11.09,16.49
LIRO,2023,5,3,2.2733333333333334,0.6506407098647712,1.64,2.94
LIRO,2023,7,3,8.163333333333334,0.45763886781318447,7.78,8.67
LIRO,2023,9,3,18.133333333333333,5.07042733241818,14.18,23.85
LIRO,2024,4,2,14.555,0.34648232278140845,14.31,14.8
LIRO,2024,7,1,4.24,NA,4.24,4.24
