siteID,year,month,n_days,chl_mean,chl_sd,chl_min,chl_max,chl_daily_cv
BARC,2017,10,11,1.289214009859552,0.1980385705775517,0.3,3.57,0.15361186665907098
BARC,2018,7,23,3.973695177144798,1.7694361307824173,0.7,14.76,0.4452873338044521
BARC,2018,10,23,7.614204437750585,4.370311743225015,2.02,21.93,0.5739682692990717
BARC,2019,2,28,0.32467022812241847,0.2695779006023586,0,2.08,0.8303129675958861
BARC,2019,7,31,1.2781235329497638,0.714141508196157,0,7.44,0.5587421636373439
BARC,2019,10,25,1.4836534174104516,0.6802066909988546,0.03,6.42,0.45846737723024156
BARC,2020,2,25,2.1260542108366987,0.5320668838173032,0.7,12.52,0.25026026199393603
BARC,2020,7,28,2.659494079173856,1.4733469096418348,0.74,8.9,0.5539951832115056
BARC,2020,10,31,4.714616123964924,1.0061132593431397,1.67,9.12,0.21340300734750234
BARC,2021,2,22,0.7849909847681334,0.6570986924491865,0,7.87,0.8370780113395531
BARC,2021,7,31,2.779405987767055,1.0380158335454275,0.29,18.55,0.3734667904271726
BARC,2021,11,30,1.874171182280483,0.43056160320824177,0.37,9.99,0.2297344059491601
BARC,2022,2,28,1.1716761233335236,0.10420774878800557,0.03,1.93,0.08893903930680536
BARC,2022,11,30,1.1563704875046332,0.15285854532996218,0.33,3.55,0.13218821042365086
BARC,2023,2,20,1.3859300924784739,0.29761951520105656,0.4,5.62,0.21474352625450274
BARC,2023,6,23,2.1597492222424295,0.28029451621114754,0.99,9.42,0.12978104741258928
BARC,2023,11,21,2.467983266669888,0.521183564813383,0.88,6.85,0.2111779167435884
BARC,2024,2,24,1.1538175525077117,0.2944782193421067,0.22,5.08,0.2552207831316889
BARC,2024,7,31,3.6010287262452,0.2735258115036304,1.78,9.3,0.0759576866216328
BARC,2024,10,31,4.101195920206202,0.7161882135826876,1.62,12.58,0.17462911490136243
LIRO,2018,7,14,2.800122546962294,0.6026974522915195,1.21,8.35,0.21523966975850908
LIRO,2018,9,30,3.933765453707497,1.3059042888009298,1.64,19.58,0.33197309401610114
LIRO,2019,5,31,4.2174485251047,2.26181049618225,0.39,22.32,0.5362983051763742
LIRO,2019,7,30,4.706624335340543,1.118363690070503,1.39,15.09,0.23761481911208981
LIRO,2019,9,30,4.385453782316185,3.7018802474863075,0.87,23.25,0.8441270689965299
LIRO,2020,7,31,3.6182915592752725,1.688786184696211,1.29,14.8,0.4667357942361248
LIRO,2020,9,30,3.151421876176407,0.8118503886281294,1.4,16.83,0.2576139979116793
LIRO,2021,7,24,3.23053950622526,0.937138564804681,0.55,13.05,0.2900873253519457
LIRO,2021,9,10,4.48912119653767,0.696744274765273,1.76,13.9,0.1552072764938162
LIRO,2022,5,24,2.7159889891987463,0.8210026946559847,0.45,18.48,0.3022849863976038
LIRO,2022,7,2,3.788989361702125,0.8612410146600791,1.89,8.18,0.22730098515588978
LIRO,2022,9,30,2.508185850670177,0.4489330435916578,0.73,10.14,0.1789871525954525
LIRO,2023,5,21,3.4221690969451615,1.310344823191228,0.21,29.46,0.3828989117927932
LIRO,2023,7,31,4.874312161022955,2.1707165492141938,0.49,23.56,0.4453380246288192
LIRO,2023,9,30,3.4573092221438997,1.7144319507734243,1.13,17.34,0.49588620531613714
LIRO,2024,4,27,5.210185960288438,1.2691767445598936,0.63,15.59,0.2435952870460753
LIRO,2024,7,31,2.5348885118403803,0.9769674985875236,0.74,12.55,0.3854084682715397
LIRO,2024,9,24,2.3514257922582047,0.20745353814289041,1.13,6.12,0.0882245737143426
PRLA,2018,7,31,42.06285669827772,10.928218704007781,24.97,81.91,0.25980685958629246
PRLA,2018,9,30,38.96993104024005,4.873945955735406,27.03,58.98,0.12506940160357502
PRLA,2019,7,28,15.535197147131644,17.385324464291013,3.91,68.17,1.1190926191432962
PRLA,2019,9,30,8.331873083681966,1.1462436794484896,5.42,16.8,0.13757334850592193
PRLA,2020,6,22,4.811715012392444,1.962952998835839,1.2,16.51,0.40795288037223854
PRLA,2022,7,2,18.76094444444445,0.9328309792253755,17.03,20.43,0.04972196266492374
PRLA,2022,9,30,31.110305639929276,4.044688493045969,20.49,42.01,0.1300112104284413
PRLA,2023,5,9,37.97245860561479,15.193161736600441,13.27,76.86,0.40011003486495095
PRLA,2023,7,31,7.921004807098811,5.36205411911351,2.46,41.82,0.676941151999811
PRLA,2023,9,30,22.29860561310791,10.563442841593067,9.39,60.59,0.47372660985507997
PRLA,2024,7,31,35.88324078185061,14.097799377225252,6.18,108.68,0.3928797697769757
PRLA,2024,9,30,14.64678044616551,2.713748879614338,10.02,22.32,0.1852795492899459
PRPO,2018,9,29,10.331511085080296,1.475865550312959,1.66,17.15,0.14285088968681958
PRPO,2019,7,31,19.855584512565613,25.1720655180816,2.47,156.39,1.2677574665279407
PRPO,2019,9,30,6.530627039386968,0.8408820519852106,3.21,22.38,0.12875977251705747
PRPO,2020,6,24,1.059367505224843,1.228645221054432,0,10.17,1.1597913047122028
PRPO,2020,7,30,11.9426308255969,9.521019954005327,0,37.63,0.7972296969608001
PRPO,2020,9,27,14.477858503265502,5.979017161550169,7.64,41.36,0.4129766263568326
PRPO,2021,7,31,23.318576566611334,9.181391118252455,1.75,56.94,0.39373720312751914
PRPO,2021,9,30,28.220167288500733,16.948062370142846,3.48,75.72,0.600565623756912
PRPO,2022,5,7,11.371589931709103,1.0589504950868718,6.19,17.97,0.09312246585097497
PRPO,2022,7,30,18.229202532110836,9.709230502061223,0.15,81.47,0.532619596768337
PRPO,2022,9,30,18.31577338748478,3.7655488886859327,0.26,34.28,0.20559049345188685
PRPO,2023,5,20,18.21945510912699,19.37509464750135,0,83.62,1.0634288748731813
PRPO,2023,7,31,16.339103919651333,4.1318465083920985,5.77,48.17,0.25288085128234317
PRPO,2023,9,30,17.256025462962963,3.6167379758232845,0.53,30.05,0.20959275840117292
PRPO,2024,5,31,8.65163947752135,1.0129076658999896,0.27,14.87,0.11707696194827832
PRPO,2024,7,31,13.792179550642583,4.516144400965544,1.66,39.35,0.32744240200637
PRPO,2024,9,30,11.145878404013969,2.2471328993877884,5.53,19.87,0.201611108423588
