taxonID,n_sites,intercept,slope,r_squared,p_value,correlation,pattern,significant
CALSP1,7,1.1950958085769927,-0.023583027250978616,0.6256371583978166,0.034159740386665596,-0.7909722867444955,Larger in cool,Yes
CYCSP,7,0.9037251126714798,-0.01681641020143707,0.7801800315420886,0.008387343243581417,-0.883278003542536,Larger in cool,Yes
CYCSP1,7,0.7945345396046549,-0.010418603181972113,0.37761801937408,0.14202647820043296,-0.6145063216713725,Larger in cool,No
DAPSP1,7,0.9853698655140939,-0.010411288159534562,0.08897891609693043,0.5158269274482815,-0.298293339008652,Larger in cool,No
ASCSP1,7,0.19828483182728873,-0.0031791530663089662,0.20404934545818215,0.3089214109779173,-0.45171821466283835,Larger in cool,No
BOSSP1,7,0.32591308658724494,-0.0016207695540669373,0.016447647107697905,0.7840648618718551,-0.12824838052660847,Larger in cool,No
GASSP6,7,0.13993057157684125,-9.255355168734436e-4,0.011317010948062957,0.8204214388564971,-0.10638144080648203,Larger in cool,No
COLSP12,7,0.14760981071403315,-1.4753915555013942e-4,3.5244665686013304e-4,0.9681346261962085,-0.01877356271090131,Larger in cool,No
NOTSP11,7,0.1229370790095988,-8.381366924188391e-5,3.307368665033877e-4,0.9691313001461792,-0.01818617239837386,Larger in cool,No
KERSP,7,0.10079888489676124,5.884807860490472e-4,0.039810168016817825,0.6679779577999159,0.19952485563662944,Larger in warm,No
