taxonID,n_sites,intercept,slope,r_squared,p_value,correlation,pattern,significant
DIASP,7,1.4607250547614108,-0.01756861832132266,0.6804118246456015,0.02237893567726502,-0.8248707926976214,Larger in cool,Yes
DAPSP1,7,1.1752949381351825,-0.0171988201746491,0.36182745520846243,0.15305807070576702,-0.6015209515955887,Larger in cool,No
CALSP1,7,1.0932996096746648,-0.016275482739291504,0.6613383252667422,0.026112046113783836,-0.8132271055902784,Larger in cool,Yes
CYCSP,7,0.8704294354290095,-0.012099900850703229,0.7284163263240268,0.014563853821214211,-0.8534730964266107,Larger in cool,Yes
CYCSP1,7,0.7505214760959696,-0.0059171674294745055,0.2807182725201829,0.22127308961066972,-0.5298285312440081,Larger in cool,No
ASCSP1,7,0.22498035925172516,-0.003734366730029643,0.4807968001292289,0.08405605475586267,-0.6933951255447565,Larger in cool,No
GASSP6,7,0.13349186933552268,-4.156825299813143e-4,0.012580243323895932,0.8107838601584226,-0.11216168384923621,Larger in cool,No
BOSSP1,7,0.273882761338916,8.625936547203961e-4,0.008285133366238939,0.8461143852397623,0.09102270797025849,Larger in warm,No
BDESP,6,0.1810525799963529,8.798605619103338e-4,0.014103632597669169,0.8226993908269974,0.11875871588085296,Larger in warm,No
COLSP12,7,0.08617680550353377,0.002254178837906362,0.13354941521574543,0.42018599529090106,0.3654441341925539,Larger in warm,No
