taxonID,temp_category,mean_body_length,sd_body_length,n_obs,mean_temp
CALSP1,Cool (≤10°C),0.7678421052631579,NA,76,8.186069480853453
CALSP1,Cool-Mild (10-15°C),0.760575,NA,80,12.552520461377501
CALSP1,Mild (15-20°C),0.6595288461538461,NA,208,18.082453721290886
CALSP1,Warm (20-25°C),0.7292934782608695,NA,184,23.11162960540707
CALSP1,Hot (>25°C),0.6229117647058824,NA,170,28.939848877790823
CYCSP,Cool (≤10°C),0.704204081632653,NA,98,8.293943174929938
CYCSP,Cool-Mild (10-15°C),0.6402608695652174,NA,46,12.427625800036566
CYCSP,Mild (15-20°C),0.5031595744680851,NA,188,18.08769801571156
CYCSP,Warm (20-25°C),0.5840138888888889,NA,144,23.001478353135003
CYCSP,Hot (>25°C),0.48651234567901236,NA,162,28.87514538687415
CYCSP1,Cool (≤10°C),0.69805,NA,40,8.731357151339742
CYCSP1,Cool-Mild (10-15°C),0.6896842105263158,NA,38,13.34936992877449
CYCSP1,Mild (15-20°C),0.5773170731707317,NA,82,17.59969032368609
CYCSP1,Warm (20-25°C),0.631421052631579,NA,76,22.869612855429555
CYCSP1,Hot (>25°C),0.475,NA,12,29.069542146051866
DIASP10,Cool-Mild (10-15°C),0.64,NA,6,12.8157782617112
DIASP10,Mild (15-20°C),0.6381071428571429,NA,112,18.161174084867614
DIASP10,Warm (20-25°C),0.6277777777777778,NA,72,23.29448201819417
DIASP10,Hot (>25°C),0.5065,NA,136,28.826805578653897
KELLON,Cool (≤10°C),0.15802439024390244,NA,82,8.31796688754805
KELLON,Cool-Mild (10-15°C),0.17099999999999999,NA,76,12.911213634831165
KELLON,Mild (15-20°C),0.1630625,NA,64,17.908567243732097
KELLON,Warm (20-25°C),0.14626315789473684,NA,38,23.39851246581007
KELLON,Hot (>25°C),0.13999999999999999,NA,10,25.239169547821174
KERCOC,Cool (≤10°C),0.11854901960784314,NA,102,8.539502935731521
KERCOC,Cool-Mild (10-15°C),0.10936,NA,50,13.249486093871386
KERCOC,Mild (15-20°C),0.12339130434782608,NA,92,17.53424713001511
KERCOC,Warm (20-25°C),0.10601020408163266,NA,98,23.839269879540105
KERCOC,Hot (>25°C),0.13774999999999998,NA,8,25.402818951321827
KERSP,Cool (≤10°C),0.11092,NA,50,8.334252111754981
KERSP,Cool-Mild (10-15°C),0.11352631578947368,NA,38,12.263770571199128
KERSP,Mild (15-20°C),0.11255172413793103,NA,58,17.819448477845857
KERSP,Warm (20-25°C),0.11097674418604651,NA,86,23.287323843551725
KERSP,Hot (>25°C),0.135,NA,20,29.251235785953185
KERTAU,Cool (≤10°C),0.18381818181818183,NA,22,7.387096932112366
KERTAU,Cool-Mild (10-15°C),0.171125,NA,32,13.209221733450653
KERTAU,Mild (15-20°C),0.15507272727272728,NA,110,18.275784308733954
KERTAU,Warm (20-25°C),0.15345652173913044,NA,92,23.535377380321112
KERTAU,Hot (>25°C),0.17470833333333333,NA,48,28.202986611026276
MESEDA,Cool (≤10°C),1.1255,NA,8,6.6331184625776904
MESEDA,Cool-Mild (10-15°C),1.206,NA,10,12.673758382868995
MESEDA,Mild (15-20°C),1.0440350877192983,NA,114,18.096791789393155
MESEDA,Warm (20-25°C),1.1651511627906976,NA,86,23.151787154317546
MESEDA,Hot (>25°C),0.9649642857142857,NA,112,28.48486556733845
POLSP20,Cool (≤10°C),0.13795555555555555,NA,90,8.211146058250185
POLSP20,Cool-Mild (10-15°C),0.10018604651162791,NA,86,12.837937789181819
POLSP20,Mild (15-20°C),0.09978205128205128,NA,156,18.154635648612505
POLSP20,Warm (20-25°C),0.10224719101123596,NA,178,23.196127573800243
POLSP20,Hot (>25°C),0.097125,NA,48,27.507287510356672
